LOC,Marker_Expal4_Curated_v1
LOC110249710,Lysosome/membrane trafficking 2
LOC110248458,Lysosome/membrane trafficking 2
LOC110246285,Lysosome/secreted 1
LOC110240890,Lysosome/secreted 2
LOC110240322,Lysosome/secreted 1
LOC110240305,Lysosome/membrane trafficking 2
LOC110240302,Lysosome/secreted 2
LOC110240311,Lysosome/secreted 2
LOC110240123,Lysosome/secreted 1
LOC110239127,Lysosome/membrane trafficking 1
LOC110238829,Lysosome/membrane trafficking 1
LOC110238097,Lysosome/secreted 1
LOC110238096,Lysosome/secreted 1
LOC114574781,Lysosome/membrane trafficking 1
LOC110236268,Lysosome/membrane trafficking 2
LOC110235349,Lysosome/membrane trafficking 2
LOC110235179,Lysosome/membrane trafficking 2
LOC110235052,Lysosome/membrane trafficking 2
LOC110235052,Lysosome/membrane trafficking 2
LOC110235052,Lysosome/membrane trafficking 2
LOC110233549,Lysosome/secreted 2
LOC110232979,Lysosome/secreted 2
LOC110253026,Lysosome/membrane trafficking 2
LOC110233992,Lysosome/membrane trafficking 1
LOC110253889,Lysosome/membrane trafficking 2
LOC110253629,Lysosome/membrane trafficking 2
LOC110252572,Lysosome/membrane trafficking 2
LOC110251534,Lysosome/membrane trafficking 2
LOC110249513,Lysosome/secreted 1
LOC110247660,Lysosome/secreted 2
LOC110246103,Lysosome/membrane trafficking 1
LOC110246076,Lysosome/membrane trafficking 2
LOC110244979,Lysosome/secreted 2
LOC110243461,Lysosome/secreted 2
LOC110241226,Lysosome/secreted 1
LOC110238202,Lysosome/membrane trafficking 2
LOC110236623,Lysosome/secreted 1
LOC110235917,Lysosome/secreted 1
LOC110235917,Lysosome/secreted 1
LOC110234994,Lysosome/secreted 1
LOC110234324,Lysosome/secreted 1
LOC110234324,Lysosome/secreted 1
LOC110232886,Lysosome/secreted 2
LOC110232859,Lysosome/membrane trafficking 2
LOC110248858,Lysosome/membrane trafficking 2
LOC110253589,Lysosome/membrane trafficking 1
LOC110253443,Lysosome/membrane trafficking 2
LOC110244784,Lysosome/membrane trafficking 2
LOC110248135,Plasma membrane
LOC110242186,Plasma membrane
LOC110240285,Plasma membrane
LOC110236175,Plasma membrane
LOC114574200,Plasma membrane
LOC110234081,Plasma membrane
LOC110232413,Plasma membrane
LOC110231292,Plasma membrane
LOC110251171,Plasma membrane
LOC110251171,Plasma membrane
LOC110251044,Plasma membrane
LOC114575767,Plasma membrane
LOC110246358,Plasma membrane
LOC110243421,Plasma membrane
LOC110241207,Plasma membrane
LOC110250869,Plasma membrane
