LOC,Notes,LOPIT Integration,Lysosomal localization,Coexpressed with Vitellogenin,Coexpressed with NPC2,LOPIT Plasma Membrane
LOC110241526,Vitellogenin,,,1,,
LOC110238759,,,,,,1
LOC110232979,"PSAP, main",1,1,1,,
LOC110240302,PSAP,1,,,,
LOC110240311,PSAP,1,,,1,
LOC110232999,PSAP,1,,1,,
LOC110234324,Cathepsin B,1,1,,,
LOC110235917,Cathepsin L,1,1,,,
LOC110244979,Progranulin,,,,,
LOC110254567,Laminin alpha M,,,,,
LOC110235837,EPDR1,,1,,,1
LOC110245934,Cub/Lectin_c/EGF domain containing,,1,,,
LOC110251641,Cubulin containing/ ,,,,,
LOC110242891,C5 complement component 5,,,,,1
LOC110248802,,,,1,,
LOC110235013,Dermapontin,,,1,,
LOC110252826,Cathepsin B?,,,,,1
LOC110242814,MALRD1,,,,,1
LOC110251133,Type 4 collagen,,,,,1
LOC110234143,CD59 glycoprotein (complement system),,,,1,
