Orthogroup	spis_longest_isoform_marker	nvec_longest_isoform
OG0000006	XP_022807949.1, XP_022807720.1, XP_022810214.1, XP_022799235.1, XP_022805952.1	XP_048584888.1
OG0000007	XP_022807280.1, XP_022777499.1, XP_022807273.1, XP_022808750.1, XP_022807699.1, XP_022808091.1, XP_022777757.1, XP_022807336.1, XP_022803731.1, XP_022799298.1, XP_022807861.1, XP_022795743.1, XP_022807279.1, XP_022808092.1, XP_022795754.1, XP_022810527.1, XP_022810417.1, XP_022804178.1, XP_022807706.1, XP_022800751.1, XP_022800745.1, XP_022808095.1, XP_022808202.1, XP_022799295.1, XP_022799299.1, XP_022802382.1, XP_022777498.1, XP_022810255.1, XP_022809434.1, XP_022803659.1, XP_022777497.1, XP_022781158.1, XP_022810339.1, XP_022781087.1, XP_022802389.1, XP_022809433.1, XP_022777541.1, XP_022800755.1, XP_022809167.1, XP_022810419.1, XP_022810275.1, XP_022802392.1, XP_022790112.1, XP_022800737.1, XP_022795757.1, XP_022801250.1, XP_022795742.1, XP_022796383.1, XP_022795733.1, XP_022796418.1, XP_022809168.1, XP_022795716.1, XP_022793323.1, XP_022809729.1, XP_022809523.1, XP_022802381.1, XP_022804177.1, XP_022802395.1, XP_022792749.1, XP_022781133.1, XP_022810529.1, XP_022793287.1, XP_022807774.1, XP_022807174.1, XP_022785107.1, XP_022803122.1, XP_022808215.1, XP_022793270.1, XP_022793667.1, XP_022777994.1, XP_022793273.1, XP_022805605.1, XP_022803123.1, XP_022793670.1, XP_022802386.1, XP_022810554.1, XP_022800744.1, XP_022809630.1, XP_022793079.1, XP_022808789.1, XP_022796405.1, XP_022804176.1, XP_022804170.1, XP_022802383.1, XP_022810254.1, XP_022807771.1, XP_022807772.1, XP_022809179.1, XP_022796406.1, XP_022793282.1, XP_022792750.1, XP_022803128.1, XP_022807950.1, XP_022802710.1, XP_022802714.1, XP_022807724.1, XP_022800040.1, XP_022800044.1	XP_001632732.3
OG0000012	XP_022778388.1, XP_022803001.1, XP_022777925.1, XP_022777585.1, XP_022808006.1, XP_022809811.1, XP_022785614.1, XP_022788736.1, XP_022801244.1, XP_022796732.1, XP_022796737.1, XP_022809184.1, XP_022802999.1, XP_022778546.1, XP_022807515.1, XP_022810436.1, XP_022777824.1, XP_022809611.1, XP_022778248.1, XP_022805295.1, XP_022808483.1, XP_022808784.1, XP_022778437.1	XP_048590314.1
OG0000015	XP_022785418.1	XP_001624434.2
OG0000015	XP_022786675.1, XP_022792193.1, XP_022792153.1, XP_022792154.1, XP_022795046.1, XP_022802814.1, XP_022795050.1, XP_022800799.1, XP_022809050.1	XP_048582340.1
OG0000015	XP_022784276.1	XP_001632454.3
OG0000015	XP_022778220.1, XP_022791932.1	XP_032236054.2
OG0000018	XP_022778163.1	XP_001629721.2
OG0000018	XP_022801177.1	XP_032220304.2
OG0000023	XP_022786629.1, XP_022783237.1, XP_022783168.1, XP_022783232.1, XP_022810048.1, XP_022810045.1, XP_022800119.1, XP_022800122.1, XP_022783235.1, XP_022805717.1, XP_022778044.1, XP_022805776.1, XP_022808476.1, XP_022808475.1, XP_022806637.1, XP_022778097.1, XP_022810626.1, XP_022810047.1, XP_022795581.1, XP_022793315.1, XP_022808747.1, XP_022806636.1, XP_022808746.1, XP_022808474.1, XP_022783170.1, XP_022810190.1, XP_022805716.1, XP_022783219.1, XP_022783169.1, XP_022783214.1, XP_022778099.1, XP_022783171.1, XP_022796922.1, XP_022778132.1, XP_022807190.1, XP_022777767.1, XP_022777987.1, XP_022777801.1, XP_022806638.1, XP_022783166.1, XP_022778009.1, XP_022801373.1, XP_022788260.1, XP_022805723.1, XP_022783223.1, XP_022778258.1, XP_022777511.1, XP_022805720.1, XP_022777535.1, XP_022805715.1, XP_022796912.1, XP_022810089.1, XP_022807819.1, XP_022777754.1, XP_022796913.1, XP_022796915.1, XP_022807816.1, XP_022810231.1, XP_022777753.1, XP_022807815.1, XP_022796924.1, XP_022807817.1, XP_022796923.1, XP_022810088.1, XP_022805722.1	XP_032236937.2
OG0000028	XP_022800298.1, XP_022800552.1	XP_048585670.1, XP_001626388.1
OG0000028	XP_022785641.1, XP_022805449.1	XP_048576146.1
OG0000028	XP_022784187.1, XP_022784145.1	XP_001640050.2, XP_048576193.1, XP_001640047.2
OG0000028	XP_022784192.1	XP_032221010.2
OG0000028	XP_022805039.1, XP_022805055.1, XP_022805058.1, XP_022784188.1, XP_022805053.1, XP_022805054.1	XP_001641088.3
OG0000028	XP_022782030.1	XP_032229419.1, XP_048576267.1
OG0000028	XP_022780558.1	XP_032219095.2, XP_001640101.1, XP_048575815.1, XP_032221500.2, XP_001627579.2, XP_001636964.2, XP_032224826.2, XP_048581324.1
OG0000031	XP_022794560.1	XP_048575684.1
OG0000039	XP_022797148.1, XP_022797152.1	XP_032242158.1
OG0000039	XP_022807789.1	XP_032242156.1, XP_032242159.2
OG0000040	XP_022780664.1	XP_048590439.1
OG0000048	XP_022785376.1	XP_001630908.3
OG0000053	XP_022785355.1	XP_001627538.2
OG0000058	XP_022784462.1, XP_022804402.1, XP_022800785.1, XP_022809738.1, XP_022808276.1, XP_022806463.1, XP_022808273.1, XP_022778047.1, XP_022808855.1, XP_022809735.1, XP_022808860.1, XP_022803777.1, XP_022809211.1, XP_022800834.1, XP_022800863.1, XP_022792742.1, XP_022785218.1, XP_022788768.1, XP_022793473.1, XP_022792962.1, XP_022810179.1, XP_022785234.1, XP_022785237.1, XP_022808807.1, XP_022810596.1, XP_022785235.1, XP_022808749.1, XP_022806763.1, XP_022785270.1, XP_022808809.1, XP_022784463.1, XP_022807927.1, XP_022790603.1, XP_022803776.1, XP_022803790.1, XP_022800838.1, XP_022784461.1, XP_022800846.1, XP_022800851.1, XP_022800839.1, XP_022800837.1	XP_032229548.2
OG0000059	XP_022807306.1, XP_022796950.1, XP_022807293.1, XP_022807292.1, XP_022807290.1, XP_022807295.1, XP_022810572.1, XP_022807286.1, XP_022807291.1, XP_022803772.1, XP_022805530.1, XP_022805529.1, XP_022807303.1, XP_022805535.1, XP_022810571.1, XP_022805531.1, XP_022778171.1, XP_022778657.1, XP_022810377.1, XP_022810514.1, XP_022784938.1, XP_022798043.1, XP_022801934.1, XP_022793839.1, XP_022793842.1, XP_022787516.1, XP_022801935.1, XP_022777642.1, XP_022793843.1, XP_022793840.1, XP_022793841.1, XP_022793860.1, XP_022793836.1, XP_022777643.1, XP_022793862.1, XP_022795922.1, XP_022801950.1, XP_022801941.1, XP_022793837.1, XP_022801955.1, XP_022801940.1	XP_001639282.2
OG0000064	XP_022793587.1, XP_022805515.1, XP_022795995.1, XP_022796000.1, XP_022779001.1	XP_032237816.2, XP_001621520.3, XP_001625504.3
OG0000064	XP_022790271.1	XP_032230469.2
