aip_LOC	aip_cluster	nvec	nvec_cluster	spis	spis_cell_type	xenia	xenia_cluster
LOC110255160	NA	XP_001635856.3	NA	XP_022798544.1	NA	Xe_001122	NA
LOC110231165	NA	XP_001632650.1	NA	XP_022783034.1	NA	Xe_000787	16
LOC110231166	NA	XP_032221966.2	NA	XP_022787050.1	neuron_10	Xe_001155	NA
LOC110231167	NA	XP_032232039.2	NA	XP_022800145.1	NA	Xe_000445	NA
LOC110231168	NA	XP_048580276.1	NA	XP_022800147.1	NA	Xe_000527	NA
LOC110231176	NA	XP_001637177.1	NA	XP_022798143.1	germline_sperm	Xe_000846	NA
LOC110231184	NA	XP_001636040.2	NA	XP_022795578.1	NA	Xe_001166	NA
LOC110231186	NA	XP_032242063.1	NA	XP_022783120.1	NA	Xe_000796	15
LOC110231187	NA	XP_001636396.1	NA	XP_022779784.1	NA	Xe_000368	NA
LOC110231191	NA	XP_032222952.1	NA	XP_022801949.1	NA	Xe_021864	NA
LOC110231209	NA	XP_001639912.3	NA	XP_022782987.1	NA	Xe_021684	2, 12
LOC110231219	NA	XP_048580796.1	NA	XP_022783013.1	NA	Xe_024939	NA
LOC110231221	NA	XP_001633557.2	NA	XP_022799384.1	NA	Xe_022302	NA
LOC110231240	NA	XP_048586465.1	NA	XP_022801614.1	NA	Xe_012106	NA
LOC110231242	NA	XP_048586486.1	NA	XP_022801597.1	NA	Xe_012119	NA
LOC110231247	NA	XP_032236386.2	NA	XP_022799574.1	NA	Xe_012748	NA
LOC110231249	NA	XP_001632267.1	NA	XP_022784393.1	NA	Xe_012242	NA
LOC110231250	NA	XP_001625094.2	NA	XP_022801620.1	NA	Xe_012105	NA
LOC110231256	NA	XP_001630194.3	NA	XP_022787131.1	NA	Xe_012231	NA
LOC110231261	NA	XP_032222737.2	NA	XP_022782675.1	NA	Xe_010155	14
LOC110231274	NA	XP_032240387.2	NA	XP_022791037.1	germline_sperm	Xe_012420	NA
LOC110231275	NA	XP_001635124.2	NA	XP_022790954.1	germline_sperm	Xe_012418	NA
LOC110231276	NA	XP_048586762.1	NA	XP_022809383.1	NA	Xe_000973	NA
LOC110231277	NA	XP_048586760.1	NA	XP_022809378.1	NA	Xe_000974	NA
LOC110231279	NA	XP_032225775.1	NA	XP_022798592.1	NA	Xe_011899	NA
LOC110231284	NA	XP_001622871.1	NA	XP_022798594.1	NA	Xe_011900	NA
LOC110231290	NA	XP_001632271.2	NA	XP_022784292.1	NA	Xe_012253	NA
LOC110231291	7	XP_032221774.2	ectoderm.epidermis, endomesoderm	XP_022784332.1	NA	Xe_012247	5, 9
LOC110231294	NA	XP_032237168.1	NA	XP_022784394.1	NA	Xe_012243	NA
LOC110231295	NA	XP_032221777.1	NA	XP_022784333.1	NA	Xe_012244	NA
LOC110231296	NA	XP_001638869.2	NA	XP_022801610.1	neuron_13	Xe_012118	NA
LOC110231305	NA	XP_032219533.2	NA	XP_022801624.1	NA	Xe_012154	NA
LOC110231308	NA	XP_001633287.3	NA	XP_022790995.1	neuron_8, neuron_9, neuron_10, neuron_11	Xe_012115	NA
LOC110231310	NA	XP_001640630.2	NA	XP_022789413.1	NA	Xe_012354	10
LOC110231311	NA	XP_032238420.2	NA	XP_022791027.1	germline_sperm	Xe_012113	NA
LOC110231313	NA	XP_032226651.2	NA	XP_022789414.1	NA	Xe_011987	NA
LOC110231314	NA	XP_048586709.1	NA	XP_022800818.1	NA	Xe_012017	NA
LOC110231320	NA	XP_048585255.1	ectoderm.embryonic	XP_022783182.1	NA	Xe_000392	NA
LOC110231323	NA	XP_032236112.2	NA	XP_022790249.1	NA	Xe_014387	NA
LOC110231325	NA	XP_032237683.2	NA	XP_022791550.1	NA	Xe_014774	NA
LOC110231330	NA	XP_048590031.1	NA	XP_022795020.1	NA	Xe_002542	NA
LOC110231331	NA	XP_032237088.2	NA	XP_022806830.1	NA	Xe_002404	NA
LOC110231333	NA	XP_001624329.2	NA	XP_022778374.1	NA	Xe_002427	NA
LOC110231335	NA	XP_032237482.1	NA	XP_022799711.1	NA	Xe_014677	NA
LOC110231352	NA	XP_001638573.2	ectoderm.embryonic	XP_022806832.1	NA	Xe_002374	NA
LOC110231354	NA	XP_048590406.1	NA	XP_022784232.1	NA	Xe_002638	NA
LOC110231362	NA	XP_048590304.1	NA	XP_022806070.1	gland_2, mitotic_host_cells	Xe_002365	NA
LOC110231376	NA	XP_032230170.2	NA	XP_022799980.1	cnidocyte	Xe_002414	11
LOC110231382	NA	XP_032233460.2	NA	XP_022804376.1	NA	Xe_009934	NA
LOC110231389	NA	XP_001626690.3	NA	XP_022785333.1	NA	Xe_002641	NA
LOC110231390	NA	XP_032230179.2	NA	XP_022784220.1	NA	Xe_002639	NA
LOC110231396	NA	XP_048583631.1	NA	XP_022797345.1	NA	Xe_002075	NA
LOC110231397	NA	XP_032233045.2	NA	XP_022784962.1	NA	Xe_009659	NA
LOC110231403	NA	XP_032232748.1	NA	XP_022781836.1	neuron_10	Xe_003096	NA
LOC110231405	NA	XP_048584265.1	NA	XP_022796018.1	NA	Xe_001959	NA
LOC110231450	NA	XP_048583342.1	NA	XP_022793925.1	NA	Xe_002993	NA
LOC110231457	NA	XP_001623102.1	NA	XP_022789826.1	NA	Xe_021579	NA
LOC110231458	NA	XP_032240294.2	NA	XP_022782535.1	NA	Xe_009527	NA
LOC110231477	NA	XP_032222326.2	NA	XP_022807829.1	NA	Xe_000469	NA
LOC110231484	NA	XP_032234036.2	NA	XP_022783682.1	NA	Xe_013935	NA
LOC110231498	NA	XP_032220559.2	NA	XP_022784643.1	germline_sperm, neuron_13	Xe_013950	NA
LOC110231509	NA	XP_032240365.1	NA	XP_022804749.1	NA	Xe_001085	NA
LOC110231510	NA	XP_032231867.2	NA	XP_022804759.1	NA	Xe_013610	2
LOC110231513	NA	XP_001641092.2	NA	XP_022804210.1	NA	Xe_010081	NA
LOC110231517	NA	XP_048585357.1	NA	XP_022796505.1	NA	Xe_013202	NA
LOC110231521	NA	XP_001640941.1	NA	XP_022807831.1	NA	Xe_000695	NA
LOC110231487	NA	XP_001634444.3	NA	XP_022808501.1	NA	Xe_002205	NA
LOC110231528	NA	XP_032222725.2	NA	XP_022798809.1	NA	Xe_022048	NA
LOC110231532	NA	XP_001626791.1	NA	XP_022787966.1	NA	Xe_015544	NA
LOC110231530	NA	XP_032228827.1	NA	XP_022800626.1	NA	Xe_015422	NA
LOC110231536	NA	XP_032240707.2	NA	XP_022782889.1	NA	Xe_013205	2
LOC110231548	NA	XP_001634989.3	NA	XP_022807827.1	NA	Xe_000468	NA
LOC110231552	NA	XP_032222310.1	ectoderm.embryonic, endomesoderm.embryonic	XP_022804227.1	NA	Xe_010080	NA
LOC110231555	NA	XP_001641926.3	NA	XP_022780696.1	NA	Xe_013203	NA
LOC110231560	NA	XP_032239578.1	NA	XP_022806457.1	NA	Xe_021822	NA
LOC110231563	NA	XP_001640760.3	NA	XP_022787422.1	NA	Xe_012496	NA
LOC110231565	NA	XP_001640843.3	NA	XP_022810309.1	NA	Xe_013200	NA
LOC110231572	NA	XP_001641547.2	NA	XP_022807244.1	NA	Xe_009847	16
LOC110231573	NA	XP_032222436.2	NA	XP_022785890.1	NA	Xe_009633	NA
LOC110231583	NA	XP_001627058.1	NA	XP_022784726.1	NA	Xe_013129	NA
LOC110231591	NA	XP_032230533.1	NA	XP_022806164.1	NA	Xe_010162	NA
LOC110231594	NA	XP_001623607.3	ectoderm.embryonic	XP_022807870.1	NA	Xe_000406	NA
LOC110231595	3, 14	XP_001628307.1	NA	XP_022793313.1	NA	Xe_000467	9
LOC110231589	NA	XP_001634410.3	NA	XP_022808502.1	NA	Xe_003394	10, 13
LOC110231630	NA	XP_001627284.1	NA	XP_022796240.1	NA	Xe_013778	NA
LOC110231635	NA	XP_032221760.2	NA	XP_022796482.1	NA	Xe_012285	NA
LOC110231642	NA	XP_001638888.2	NA	XP_022782297.1	NA	Xe_012166	NA
LOC110231639	NA	XP_032230725.2	NA	XP_022805087.1	NA	Xe_003444	NA
