Orthogroup	Species	nvec_longest_isoform	Orthologs
OG0000006	xenia_longest_isoforms	XP_048584888.1	Xe_002016-T1, Xe_028392-T1, Xe_028407-T1, Xe_023708-T1, Xe_016644-T1, Xe_025917-T1, Xe_028106-T1, Xe_023685-T1, Xe_023397-T1, Xe_023690-T1, Xe_023408-T1, Xe_028274-T1, Xe_028403-T1, Xe_028109-T1, Xe_028251-T1, Xe_023695-T1, Xe_023406-T1, Xe_023395-T1, Xe_023398-T1, Xe_023686-T1, Xe_009692-T1, Xe_009691-T1, Xe_018771-T1, Xe_018773-T1, Xe_010157-T1
OG0000006	spis_longest_isoform_marker	XP_048584888.1	XP_022807949.1, XP_022807720.1, XP_022810214.1, XP_022799235.1, XP_022805952.1
OG0000006	xenia_longest_isoforms	XP_048584948.1	Xe_027699-T1, Xe_027729-T1
OG0000006	aip_longest_isoforms	XP_048584948.1	XP_020908294.1
OG0000006	xenia_longest_isoforms	XP_048587198.1	Xe_023021-T1
OG0000007	spis_longest_isoform_marker	XP_001632732.3	XP_022807280.1, XP_022777499.1, XP_022807273.1, XP_022808750.1, XP_022807699.1, XP_022808091.1, XP_022777757.1, XP_022807336.1, XP_022803731.1, XP_022799298.1, XP_022807861.1, XP_022795743.1, XP_022807279.1, XP_022808092.1, XP_022795754.1, XP_022810527.1, XP_022810417.1, XP_022804178.1, XP_022807706.1, XP_022800751.1, XP_022800745.1, XP_022808095.1, XP_022808202.1, XP_022799295.1, XP_022799299.1, XP_022802382.1, XP_022777498.1, XP_022810255.1, XP_022809434.1, XP_022803659.1, XP_022777497.1, XP_022781158.1, XP_022810339.1, XP_022781087.1, XP_022802389.1, XP_022809433.1, XP_022777541.1, XP_022800755.1, XP_022809167.1, XP_022810419.1, XP_022810275.1, XP_022802392.1, XP_022790112.1, XP_022800737.1, XP_022795757.1, XP_022801250.1, XP_022795742.1, XP_022796383.1, XP_022795733.1, XP_022796418.1, XP_022809168.1, XP_022795716.1, XP_022793323.1, XP_022809729.1, XP_022809523.1, XP_022802381.1, XP_022804177.1, XP_022802395.1, XP_022792749.1, XP_022781133.1, XP_022810529.1, XP_022793287.1, XP_022807774.1, XP_022807174.1, XP_022785107.1, XP_022803122.1, XP_022808215.1, XP_022793270.1, XP_022793667.1, XP_022777994.1, XP_022793273.1, XP_022805605.1, XP_022803123.1, XP_022793670.1, XP_022802386.1, XP_022810554.1, XP_022800744.1, XP_022809630.1, XP_022793079.1, XP_022808789.1, XP_022796405.1, XP_022804176.1, XP_022804170.1, XP_022802383.1, XP_022810254.1, XP_022807771.1, XP_022807772.1, XP_022809179.1, XP_022796406.1, XP_022793282.1, XP_022792750.1, XP_022803128.1, XP_022807950.1, XP_022802710.1, XP_022802714.1, XP_022807724.1, XP_022800040.1, XP_022800044.1
OG0000007	aip_longest_isoforms	XP_001632732.3	XP_020908123.1
OG0000012	spis_longest_isoform_marker	XP_048590314.1	XP_022778388.1, XP_022803001.1, XP_022777925.1, XP_022777585.1, XP_022808006.1, XP_022809811.1, XP_022785614.1, XP_022788736.1, XP_022801244.1, XP_022796732.1, XP_022796737.1, XP_022809184.1, XP_022802999.1, XP_022778546.1, XP_022807515.1, XP_022810436.1, XP_022777824.1, XP_022809611.1, XP_022778248.1, XP_022805295.1, XP_022808483.1, XP_022808784.1, XP_022778437.1
OG0000012	aip_longest_isoforms	XP_048590314.1	XP_028517823.1
OG0000015	spis_longest_isoform_marker	XP_001624434.2	XP_022785418.1
OG0000015	aip_longest_isoforms	XP_001624434.2	XP_020898206.1
OG0000015	aip_longest_isoforms	XP_032221175.2	XP_028516950.1
OG0000015	xenia_longest_isoforms	XP_032221175.2	Xe_022850-T1, Xe_023018-T1, Xe_022881-T1, Xe_023189-T1, Xe_022996-T1, Xe_022934-T1, Xe_022878-T1, Xe_022848-T1, Xe_023194-T1, Xe_022898-T1, Xe_022999-T1, Xe_022821-T1, Xe_022895-T1, Xe_022941-T1, Xe_022854-T1, Xe_022968-T1
OG0000015	xenia_longest_isoforms	XP_048582340.1	Xe_009140-T1, Xe_027744-T1, Xe_027753-T1, Xe_027808-T1, Xe_027812-T1, Xe_027805-T1, Xe_027796-T1, Xe_027746-T1, Xe_027739-T1, Xe_027783-T1, Xe_027790-T1, Xe_027792-T1, Xe_027785-T1
OG0000015	aip_longest_isoforms	XP_048582340.1	XP_020898929.1, XP_020907413.1, XP_020915299.1, XP_020906440.2, XP_020907416.2, XP_020915296.1, XP_028516783.1, XP_020901795.2, XP_020915295.1, XP_020897244.1, XP_020909125.2, XP_020909200.1
OG0000015	spis_longest_isoform_marker	XP_048582340.1	XP_022786675.1, XP_022792193.1, XP_022792153.1, XP_022792154.1, XP_022795046.1, XP_022802814.1, XP_022795050.1, XP_022800799.1, XP_022809050.1
OG0000015	xenia_longest_isoforms	XP_001632454.3, XP_032236054.2	Xe_027789-T1
OG0000015	spis_longest_isoform_marker	XP_001632454.3	XP_022784276.1
OG0000015	aip_longest_isoforms	XP_001632454.3	XP_020901662.1
OG0000015	spis_longest_isoform_marker	XP_032236054.2	XP_022778220.1, XP_022791932.1
OG0000015	aip_longest_isoforms	XP_032236054.2	XP_020906128.1, XP_028514603.1, XP_020899430.1, XP_028514372.1
OG0000018	spis_longest_isoform_marker	XP_001629721.2	XP_022778163.1
OG0000018	xenia_longest_isoforms	XP_001629721.2	Xe_024161-T1
OG0000018	aip_longest_isoforms	XP_001629721.2	XP_020895312.1
OG0000018	xenia_longest_isoforms	XP_032220304.2	Xe_024121-T1, Xe_024337-T1, Xe_024359-T1, Xe_024142-T1, Xe_024105-T1, Xe_024390-T1, Xe_024376-T1, Xe_024122-T1, Xe_024150-T1, Xe_024364-T1, Xe_024139-T1, Xe_024399-T1, Xe_024336-T1, Xe_024133-T1, Xe_024298-T1, Xe_024194-T1, Xe_024116-T1, Xe_024160-T1, Xe_024106-T1, Xe_024163-T1, Xe_024361-T1, Xe_024171-T1, Xe_024385-T1
OG0000018	spis_longest_isoform_marker	XP_032220304.2	XP_022801177.1
OG0000018	aip_longest_isoforms	XP_032220304.2	XP_028515739.1
OG0000023	spis_longest_isoform_marker	XP_032236937.2	XP_022786629.1, XP_022783237.1, XP_022783168.1, XP_022783232.1, XP_022810048.1, XP_022810045.1, XP_022800119.1, XP_022800122.1, XP_022783235.1, XP_022805717.1, XP_022778044.1, XP_022805776.1, XP_022808476.1, XP_022808475.1, XP_022806637.1, XP_022778097.1, XP_022810626.1, XP_022810047.1, XP_022795581.1, XP_022793315.1, XP_022808747.1, XP_022806636.1, XP_022808746.1, XP_022808474.1, XP_022783170.1, XP_022810190.1, XP_022805716.1, XP_022783219.1, XP_022783169.1, XP_022783214.1, XP_022778099.1, XP_022783171.1, XP_022796922.1, XP_022778132.1, XP_022807190.1, XP_022777767.1, XP_022777987.1, XP_022777801.1, XP_022806638.1, XP_022783166.1, XP_022778009.1, XP_022801373.1, XP_022788260.1, XP_022805723.1, XP_022783223.1, XP_022778258.1, XP_022777511.1, XP_022805720.1, XP_022777535.1, XP_022805715.1, XP_022796912.1, XP_022810089.1, XP_022807819.1, XP_022777754.1, XP_022796913.1, XP_022796915.1, XP_022807816.1, XP_022810231.1, XP_022777753.1, XP_022807815.1, XP_022796924.1, XP_022807817.1, XP_022796923.1, XP_022810088.1, XP_022805722.1
OG0000028	aip_longest_isoforms	XP_048585670.1, XP_001626388.1	XP_020901945.1
OG0000028	spis_longest_isoform_marker	XP_048585670.1, XP_001626388.1	XP_022800298.1, XP_022800552.1
OG0000028	aip_longest_isoforms	XP_048576146.1	XP_020900729.1
OG0000028	spis_longest_isoform_marker	XP_048576146.1	XP_022785641.1, XP_022805449.1
OG0000028	aip_longest_isoforms	XP_001640050.2, XP_048576193.1, XP_001640047.2	XP_020907568.1, XP_020905382.1
OG0000028	spis_longest_isoform_marker	XP_001640050.2, XP_048576193.1, XP_001640047.2	XP_022784187.1, XP_022784145.1
OG0000028	spis_longest_isoform_marker	XP_032221010.2	XP_022784192.1
OG0000028	aip_longest_isoforms	XP_032221010.2	XP_020905383.1
