HOG	OG	Gene Tree Parent Clade	aip_longest_isoforms	nvec_longest_isoform	spis_longest_isoform_marker	xenia_longest_isoforms
N0.HOG0000000	OG0000000	n0			XP_022785590.1	Xe_006312-T1, Xe_019095-T1, Xe_019178-T1, Xe_018898-T1, Xe_019057-T1, Xe_019140-T1, Xe_019175-T1, Xe_025101-T1, Xe_018873-T1, Xe_025106-T1, Xe_013646-T1, Xe_013647-T1, Xe_013645-T1, Xe_013641-T1, Xe_019004-T1, Xe_018888-T1, Xe_019022-T1, Xe_018920-T1, Xe_019090-T1, Xe_025137-T1, Xe_018951-T1, Xe_017314-T1, Xe_017286-T1, Xe_019025-T1, Xe_019222-T1, Xe_019314-T1, Xe_010009-T1, Xe_018860-T1, Xe_018950-T1, Xe_025134-T1, Xe_018848-T1, Xe_018960-T1, Xe_025138-T1, Xe_025128-T1, Xe_018961-T1, Xe_019160-T1, Xe_018926-T1, Xe_019204-T1, Xe_018866-T1, Xe_018917-T1, Xe_018996-T1, Xe_018859-T1, Xe_025151-T1, Xe_019124-T1, Xe_019081-T1, Xe_019197-T1, Xe_018968-T1, Xe_019208-T1, Xe_018984-T1, Xe_019170-T1, Xe_018991-T1, Xe_025112-T1, Xe_019065-T1, Xe_018980-T1, Xe_019217-T1, Xe_018970-T1, Xe_019112-T1, Xe_019033-T1, Xe_018896-T1, Xe_025122-T1, Xe_018982-T1, Xe_019041-T1, Xe_018909-T1, Xe_019149-T1, Xe_019005-T1, Xe_018854-T1, Xe_018862-T1, Xe_000274-T1, Xe_018976-T1, Xe_019154-T1, Xe_025146-T1, Xe_019110-T1, Xe_019019-T1, Xe_019121-T1, Xe_018877-T1, Xe_018965-T1, Xe_019037-T1, Xe_019061-T1, Xe_019093-T1, Xe_019118-T1, Xe_025148-T1, Xe_019305-T1, Xe_019144-T1, Xe_019142-T1, Xe_019188-T1, Xe_019186-T1, Xe_018897-T1, Xe_025102-T1, Xe_018933-T1, Xe_018959-T1, Xe_010211-T1, Xe_010858-T1, Xe_010233-T1, Xe_010214-T1, Xe_010861-T1, Xe_010209-T1, Xe_010226-T1, Xe_010219-T1, Xe_010216-T1, Xe_010866-T1, Xe_010206-T1, Xe_010865-T1, Xe_010863-T1, Xe_010203-T1, Xe_006636-T1, Xe_025107-T1, Xe_019071-T1, Xe_018962-T1, Xe_019056-T1, Xe_019074-T1, Xe_019161-T1, Xe_025142-T1, Xe_025127-T1, Xe_025126-T1, Xe_009272-T1, Xe_009604-T1, Xe_027374-T1, Xe_018899-T1, Xe_018333-T1, Xe_006319-T1, Xe_018818-T1, Xe_019157-T1, Xe_018817-T1, Xe_019064-T1, Xe_018998-T1, Xe_018885-T1, Xe_019308-T1, Xe_019052-T1, Xe_019067-T1, Xe_025144-T1, Xe_019201-T1, Xe_019066-T1, Xe_025154-T1, Xe_019104-T1, Xe_018944-T1, Xe_018842-T1, Xe_018921-T1, Xe_018939-T1, Xe_027977-T1, Xe_018937-T1, Xe_019021-T1, Xe_018954-T1, Xe_019075-T1, Xe_018891-T1, Xe_019293-T1, Xe_018820-T1, Xe_019080-T1, Xe_019199-T1, Xe_013648-T1, Xe_013642-T1, Xe_019024-T1, Xe_025141-T1, Xe_018942-T1, Xe_019224-T1, Xe_019051-T1, Xe_025125-T1, Xe_019227-T1, Xe_018945-T1
N0.HOG0000001	OG0000001	n0				Xe_025380-T1, Xe_028173-T1, Xe_028180-T1, Xe_028164-T1, Xe_028197-T1, Xe_028124-T1, Xe_016751-T1, Xe_028202-T1, Xe_028212-T1, Xe_028361-T1, Xe_016728-T1, Xe_028156-T1, Xe_017718-T1, Xe_006435-T1, Xe_006369-T1, Xe_006436-T1, Xe_017722-T1, Xe_017717-T1, Xe_017720-T1, Xe_027845-T1, Xe_027855-T1, Xe_027853-T1, Xe_016821-T1, Xe_028218-T1, Xe_017048-T1, Xe_016633-T1, Xe_016719-T1, Xe_028340-T1, Xe_028214-T1, Xe_017089-T1, Xe_016925-T1, Xe_028152-T1, Xe_016954-T1, Xe_017082-T1, Xe_028357-T1, Xe_016979-T1, Xe_017086-T1, Xe_017062-T1, Xe_017119-T1, Xe_017117-T1, Xe_016332-T1, Xe_017078-T1, Xe_010376-T1, Xe_016746-T1, Xe_016675-T1, Xe_016777-T1, Xe_016764-T1, Xe_016785-T1, Xe_016712-T1, Xe_016796-T1, Xe_016800-T1, Xe_016696-T1, Xe_016724-T1, Xe_016838-T1, Xe_028133-T1, Xe_016804-T1, Xe_028132-T1, Xe_028354-T1, Xe_028184-T1, Xe_016629-T1, Xe_016652-T1, Xe_028345-T1, Xe_028177-T1, Xe_010361-T1, Xe_028210-T1, Xe_010373-T1, Xe_028351-T1, Xe_016669-T1, Xe_010380-T1, Xe_028373-T1, Xe_016698-T1, Xe_016733-T1, Xe_016788-T1, Xe_016739-T1, Xe_016917-T1, Xe_017076-T1, Xe_025335-T1, Xe_016623-T1, Xe_016963-T1, Xe_025347-T1, Xe_016931-T1, Xe_028172-T1, Xe_016779-T1, Xe_016737-T1, Xe_016840-T1, Xe_016705-T1, Xe_028130-T1, Xe_016647-T1, Xe_028150-T1, Xe_028372-T1, Xe_028431-T1, Xe_028225-T1, Xe_016279-T1, Xe_025346-T1, Xe_028188-T1, Xe_010379-T1, Xe_028125-T1, Xe_028203-T1, Xe_017047-T1, Xe_016913-T1, Xe_016940-T1, Xe_016909-T1, Xe_016808-T1, Xe_017068-T1, Xe_028428-T1, Xe_025357-T1, Xe_016679-T1, Xe_016626-T1, Xe_028143-T1, Xe_028221-T1, Xe_016640-T1, Xe_016835-T1, Xe_016665-T1, Xe_016758-T1, Xe_016339-T1, Xe_016341-T1, Xe_016701-T1, Xe_016817-T1, Xe_016685-T1, Xe_028350-T1, Xe_010369-T1, Xe_016754-T1, Xe_016663-T1, Xe_016833-T1, Xe_016688-T1, Xe_016661-T1, Xe_016280-T1, Xe_028187-T1, Xe_016741-T1, Xe_016642-T1, Xe_025356-T1, Xe_016798-T1, Xe_016722-T1, Xe_016793-T1, Xe_028160-T1, Xe_028135-T1, Xe_010358-T1
N0.HOG0000002	OG0000002	n0	XP_028514806.1		XP_022801671.1	Xe_021285-T1, Xe_020131-T1, Xe_017306-T1, Xe_017222-T1, Xe_017223-T1, Xe_017289-T1, Xe_017324-T1, Xe_017260-T1, Xe_017114-T1, Xe_025343-T1, Xe_017106-T1, Xe_017125-T1, Xe_016337-T1, Xe_025358-T1, Xe_017261-T1, Xe_002589-T1, Xe_002590-T1, Xe_017315-T1, Xe_017265-T1, Xe_017252-T1, Xe_017225-T1, Xe_027968-T1, Xe_017290-T1, Xe_007344-T1, Xe_007348-T1, Xe_007364-T1, Xe_007353-T1, Xe_007369-T1, Xe_007377-T1, Xe_007876-T1, Xe_007361-T1, Xe_007695-T1, Xe_017248-T1, Xe_017237-T1, Xe_017278-T1, Xe_017240-T1, Xe_001597-T1, Xe_017328-T1, Xe_017211-T1, Xe_017204-T1, Xe_017218-T1, Xe_018992-T1, Xe_017307-T1, Xe_012513-T1, Xe_007590-T1, Xe_007513-T1, Xe_007220-T1, Xe_023170-T1, Xe_023129-T1, Xe_016986-T1, Xe_017139-T1, Xe_017281-T1, Xe_022018-T1, Xe_003260-T1, Xe_022022-T1, Xe_024367-T1, Xe_017156-T1, Xe_017325-T1, Xe_017292-T1, Xe_017157-T1, Xe_028598-T1, Xe_018527-T1, Xe_018499-T1, Xe_018505-T1, Xe_018503-T1, Xe_017308-T1, Xe_017065-T1, Xe_016930-T1, Xe_017081-T1, Xe_017088-T1, Xe_025378-T1, Xe_016946-T1, Xe_017128-T1, Xe_016957-T1, Xe_000676-T1, Xe_016970-T1, Xe_016994-T1, Xe_025332-T1, Xe_017127-T1, Xe_016924-T1, Xe_017146-T1, Xe_025345-T1, Xe_016990-T1, Xe_016967-T1, Xe_025370-T1, Xe_017317-T1, Xe_017266-T1, Xe_025381-T1, Xe_016948-T1, Xe_017059-T1, Xe_017279-T1, Xe_017294-T1, Xe_017003-T1, Xe_025118-T1, Xe_025124-T1, Xe_019048-T1, Xe_019219-T1, Xe_019168-T1, Xe_018941-T1, Xe_025348-T1, Xe_019055-T1, Xe_017154-T1, Xe_018869-T1, Xe_025350-T1, Xe_017137-T1, Xe_016911-T1, Xe_016987-T1, Xe_016388-T1, Xe_017241-T1, Xe_001609-T1, Xe_017329-T1, Xe_019070-T1, Xe_017166-T1, Xe_017138-T1, Xe_017251-T1, Xe_017074-T1, Xe_017148-T1, Xe_019128-T1, Xe_019191-T1, Xe_017326-T1, Xe_017224-T1
N0.HOG0000003	OG0000003	n0			XP_022777525.1	Xe_023508-T1, Xe_028334-T1, Xe_018682-T1, Xe_018892-T1, Xe_024613-T1, Xe_020182-T1, Xe_025000-T1, Xe_027692-T1, Xe_008969-T1, Xe_023143-T1, Xe_026118-T1, Xe_028399-T1, Xe_016874-T1, Xe_015677-T1, Xe_019695-T1, Xe_019827-T1, Xe_019593-T1, Xe_025641-T1, Xe_001549-T1, Xe_008941-T1, Xe_023967-T1, Xe_015206-T1, Xe_019594-T1, Xe_008683-T1, Xe_011089-T1, Xe_008690-T1, Xe_017220-T1, Xe_026919-T1, Xe_013485-T1, Xe_026731-T1, Xe_006142-T1, Xe_001952-T1, Xe_021110-T1, Xe_001714-T1, Xe_019808-T1, Xe_001942-T1, Xe_027193-T1, Xe_008985-T1, Xe_015195-T1, Xe_006429-T1, Xe_016852-T1, Xe_025472-T1, Xe_019618-T1, Xe_006536-T1, Xe_026920-T1, Xe_026376-T1, Xe_006430-T1, Xe_001820-T1, Xe_022098-T1, Xe_006578-T1, Xe_017737-T1, Xe_022542-T1, Xe_000156-T1, Xe_013671-T1, Xe_028635-T1, Xe_006387-T1, Xe_008554-T1, Xe_017300-T1, Xe_022884-T1, Xe_006135-T1, Xe_017219-T1, Xe_012056-T1, Xe_017530-T1, Xe_018993-T1, Xe_019235-T1, Xe_014946-T1, Xe_026916-T1, Xe_024764-T1, Xe_006251-T1, Xe_023354-T1, Xe_015252-T1, Xe_006506-T1, Xe_006619-T1, Xe_013559-T2, Xe_024144-T1, Xe_016174-T1, Xe_024604-T1, Xe_015328-T1, Xe_001788-T1, Xe_023976-T1, Xe_020151-T1, Xe_006431-T1, Xe_023582-T1, Xe_017004-T1, Xe_026547-T1, Xe_015264-T1, Xe_007652-T1, Xe_027396-T1, Xe_015149-T1, Xe_003087-T1, Xe_027071-T1, Xe_026199-T1, Xe_025583-T1, Xe_025582-T1, Xe_005809-T1, Xe_007150-T1, Xe_008733-T1, Xe_019800-T1, Xe_010477-T1, Xe_001862-T1, Xe_016177-T1, Xe_025157-T1, Xe_017985-T1, Xe_017442-T1, Xe_027112-T1, Xe_025119-T1, Xe_027999-T1, Xe_007658-T1, Xe_027032-T1, Xe_024257-T1, Xe_016170-T1, Xe_006351-T1
N0.HOG0000004	OG0000004	n0			XP_022800789.1, XP_022778477.1, XP_022806787.1, XP_022789650.1, XP_022777913.1, XP_022808931.1, XP_022777914.1, XP_022796277.1, XP_022807412.1, XP_022809303.1, XP_022804748.1, XP_022810156.1, XP_022800780.1, XP_022803681.1, XP_022806702.1, XP_022802503.1, XP_022797592.1, XP_022798307.1, XP_022809944.1, XP_022809943.1, XP_022778910.1, XP_022777615.1, XP_022810134.1, XP_022810065.1, XP_022809910.1, XP_022806615.1, XP_022809915.1, XP_022806619.1, XP_022794583.1, XP_022801975.1, XP_022806893.1, XP_022778371.1, XP_022809802.1, XP_022806892.1, XP_022777634.1, XP_022806889.1, XP_022806872.1, XP_022808591.1, XP_022810177.1, XP_022803381.1, XP_022808287.1, XP_022808283.1, XP_022785688.1, XP_022778670.1, XP_022803672.1, XP_022793106.1, XP_022805594.1, XP_022797699.1, XP_022778048.1, XP_022800779.1, XP_022809126.1, XP_022810285.1, XP_022777673.1, XP_022809804.1, XP_022809036.1, XP_022797973.1, XP_022778056.1, XP_022803673.1, XP_022797978.1, XP_022804890.1, XP_022777672.1, XP_022797976.1, XP_022804891.1, XP_022784768.1, XP_022778194.1, XP_022781493.1, XP_022781447.1, XP_022810180.1, XP_022802676.1, XP_022803706.1, XP_022806527.1, XP_022799014.1, XP_022810641.1, XP_022791900.1, XP_022806894.1, XP_022808634.1, XP_022806871.1, XP_022777464.1, XP_022806691.1, XP_022777589.1, XP_022809522.1, XP_022800759.1, XP_022777995.1, XP_022777633.1, XP_022787229.1, XP_022787252.1, XP_022783850.1, XP_022809210.1, XP_022809207.1, XP_022804092.1, XP_022805168.1, XP_022805166.1, XP_022805161.1, XP_022794413.1, XP_022778450.1, XP_022794416.1, XP_022794400.1, XP_022794407.1, XP_022794417.1, XP_022784672.1, XP_022786056.1, XP_022809373.1, XP_022809040.1, XP_022784727.1, XP_022810278.1, XP_022809889.1, XP_022806883.1, XP_022803683.1	
N0.HOG0000005	OG0000005	n0			XP_022789382.1	Xe_000935-T1, Xe_016700-T1, Xe_023323-T1, Xe_023320-T1, Xe_006543-T1, Xe_018376-T1, Xe_016926-T1, Xe_028406-T1, Xe_006316-T1, Xe_017001-T1, Xe_024922-T1, Xe_017320-T1, Xe_010372-T1, Xe_026604-T1, Xe_001410-T1, Xe_006442-T1, Xe_017765-T1, Xe_024152-T1, Xe_028725-T1, Xe_018008-T1, Xe_015310-T1, Xe_011061-T1, Xe_019841-T1, Xe_017327-T1, Xe_025578-T1, Xe_027089-T1, Xe_017750-T1, Xe_023434-T1, Xe_011225-T1, Xe_028519-T1, Xe_004160-T1, Xe_023927-T1, Xe_026124-T1, Xe_016883-T1, Xe_000938-T1, Xe_022443-T1, Xe_015262-T1, Xe_016519-T1, Xe_007563-T1, Xe_000010-T1, Xe_003923-T1, Xe_027437-T1, Xe_003709-T1, Xe_016956-T1, Xe_028716-T1, Xe_018956-T1, Xe_005191-T1, Xe_028595-T1, Xe_024282-T1, Xe_011161-T1, Xe_011108-T1, Xe_028006-T1, Xe_009110-T1, Xe_015158-T1, Xe_007630-T1, Xe_009236-T1, Xe_003981-T1, Xe_026709-T1, Xe_019159-T1, Xe_008915-T1, Xe_008595-T1, Xe_006247-T1, Xe_028342-T1, Xe_027068-T1, Xe_025169-T1, Xe_007645-T1, Xe_014698-T1, Xe_023259-T1, Xe_022448-T1, Xe_028697-T1, Xe_028710-T1, Xe_028660-T1, Xe_028671-T1, Xe_027440-T1, Xe_015111-T1, Xe_028256-T1, Xe_003215-T1, Xe_017209-T1, Xe_004770-T1, Xe_005763-T1, Xe_008861-T1, Xe_006402-T1, Xe_025089-T1, Xe_006735-T1, Xe_015207-T1, Xe_006129-T1, Xe_027421-T1, Xe_006044-T1, Xe_015274-T1, Xe_014166-T1, Xe_017077-T1, Xe_001986-T1, Xe_019676-T1, Xe_006933-T1, Xe_006732-T1, Xe_018405-T1, Xe_027704-T1, Xe_003524-T1, Xe_018404-T1, Xe_023856-T1, Xe_026733-T1, Xe_010501-T1, Xe_001787-T1, Xe_001197-T1, Xe_003862-T1, Xe_013588-T1, Xe_014607-T1
N0.HOG0000006	OG0000006	n1		XP_048584888.1	XP_022807949.1, XP_022807720.1, XP_022810214.1, XP_022799235.1, XP_022805952.1	Xe_002016-T1, Xe_028392-T1, Xe_028407-T1, Xe_023708-T1, Xe_016644-T1, Xe_025917-T1, Xe_028106-T1, Xe_023685-T1, Xe_023397-T1, Xe_023690-T1, Xe_023408-T1, Xe_028274-T1, Xe_028403-T1, Xe_028109-T1, Xe_028251-T1, Xe_023695-T1, Xe_023406-T1, Xe_023395-T1, Xe_023398-T1, Xe_023686-T1, Xe_009692-T1, Xe_009691-T1, Xe_018771-T1, Xe_018773-T1, Xe_010157-T1
N0.HOG0000007	OG0000006	n34	XP_020908294.1	XP_048584948.1		Xe_027699-T1, Xe_027729-T1
N0.HOG0000008	OG0000006	n37			XP_022787472.1	Xe_024665-T1, Xe_024671-T1, Xe_019135-T1, Xe_019010-T1, Xe_025139-T1, Xe_028241-T1, Xe_023746-T1, Xe_027801-T1, Xe_023704-T1, Xe_008872-T1, Xe_008867-T1, Xe_018972-T1, Xe_019310-T1, Xe_022972-T1, Xe_022912-T1, Xe_022959-T1, Xe_022924-T1, Xe_022830-T1, Xe_022926-T1, Xe_022932-T1, Xe_023735-T1, Xe_023732-T1, Xe_023701-T1, Xe_023339-T1, Xe_023436-T1, Xe_023448-T1, Xe_023214-T1, Xe_022902-T1, Xe_027705-T1, Xe_023224-T1, Xe_023209-T1, Xe_023759-T1, Xe_000730-T1, Xe_023683-T1, Xe_027813-T1, Xe_027809-T1, Xe_028283-T1, Xe_024206-T1, Xe_027754-T1, Xe_022769-T1, Xe_027745-T1, Xe_025492-T1, Xe_022886-T1, Xe_023148-T1, Xe_023085-T1, Xe_022983-T1, Xe_022840-T1, Xe_023144-T1, Xe_023235-T1, Xe_023199-T1, Xe_023141-T1, Xe_023229-T1, Xe_022768-T1, Xe_023238-T1, Xe_023181-T1, Xe_022887-T1, Xe_022986-T1, Xe_022991-T1, Xe_023089-T1, Xe_023216-T1, Xe_023217-T1, Xe_023210-T1, Xe_022990-T1, Xe_022862-T1, Xe_022916-T1, Xe_023335-T1
N0.HOG0000009	OG0000006	n103		XP_048587198.1		Xe_023021-T1
