Orthogroup	aip_longest_isoforms	nvec_longest_isoform	spis_longest_isoform_marker	xenia_longest_isoforms
OG0017115	XP_020891793.1			
OG0017116	XP_020891813.1			
OG0017117	XP_020891818.1			
OG0017118	XP_020891822.1			
OG0017119	XP_020891833.2			
OG0017120	XP_020891870.1			
OG0017121	XP_020891875.2			
OG0017122	XP_020891917.1			
OG0017123	XP_020891953.1			
OG0017124	XP_020891993.2			
OG0017125	XP_020892036.1			
OG0017126	XP_020892057.1			
OG0017127	XP_020892107.1			
OG0017128	XP_020892134.1			
OG0017129	XP_020892143.1			
OG0017130	XP_020892144.1			
OG0017131	XP_020892154.1			
OG0017132	XP_020892184.1			
OG0017133	XP_020892228.1			
OG0017134	XP_020892252.1			
OG0017135	XP_020892320.1			
OG0017136	XP_020892341.1			
OG0017137	XP_020892380.1			
OG0017138	XP_020892421.1			
OG0017139	XP_020892437.1			
OG0017140	XP_020892438.2			
OG0017141	XP_020892446.1			
OG0017142	XP_020892456.1			
OG0017143	XP_020892458.1			
OG0017144	XP_020892468.1			
OG0017145	XP_020892485.2			
OG0017146	XP_020892498.2			
OG0017147	XP_020892511.1			
OG0017148	XP_020892513.1			
OG0017149	XP_020892558.1			
OG0017150	XP_020892571.2			
OG0017151	XP_020892581.1			
OG0017152	XP_020892657.1			
OG0017153	XP_020892687.1			
OG0017154	XP_020892691.1			
OG0017155	XP_020892715.1			
OG0017156	XP_020892719.1			
OG0017157	XP_020892721.2			
OG0017158	XP_020892723.2			
OG0017159	XP_020892760.1			
OG0017160	XP_020892810.1			
OG0017161	XP_020892812.1			
OG0017162	XP_020892814.1			
OG0017163	XP_020892883.1			
OG0017164	XP_020892884.1			
OG0017165	XP_020892889.1			
OG0017166	XP_020892912.2			
OG0017167	XP_020892988.1			
OG0017168	XP_020893034.2			
OG0017169	XP_020893035.1			
OG0017170	XP_020893119.1			
OG0017171	XP_020893125.1			
OG0017172	XP_020893126.1			
OG0017173	XP_020893150.1			
OG0017174	XP_020893178.1			
OG0017175	XP_020893180.1			
OG0017176	XP_020893198.1			
OG0017177	XP_020893219.1			
OG0017178	XP_020893241.1			
OG0017179	XP_020893271.1			
OG0017180	XP_020893338.1			
OG0017181	XP_020893356.1			
OG0017182	XP_020893371.1			
OG0017183	XP_020893382.1			
OG0017184	XP_020893401.1			
OG0017185	XP_020893410.1			
OG0017186	XP_020893438.2			
OG0017187	XP_020893441.1			
OG0017188	XP_020893454.1			
OG0017189	XP_020893486.1			
OG0017190	XP_020893494.1			
OG0017191	XP_020893542.1			
OG0017192	XP_020893543.1			
OG0017193	XP_020893547.1			
OG0017194	XP_020893561.1			
OG0017195	XP_020893562.1			
OG0017196	XP_020893565.1			
OG0017197	XP_020893587.1			
OG0017198	XP_020893600.1			
OG0017199	XP_020893606.1			
OG0017200	XP_020893624.2			
OG0017201	XP_020893626.1			
OG0017202	XP_020893682.1			
OG0017203	XP_020893702.1			
OG0017204	XP_020893757.1			
OG0017205	XP_020893762.1			
OG0017206	XP_020893804.1			
OG0017207	XP_020893825.1			
OG0017208	XP_020893834.1			
OG0017209	XP_020893862.1			
OG0017210	XP_020893872.1			
OG0017211	XP_020893904.1			
OG0017212	XP_020893914.2			
OG0017213	XP_020893939.1			
OG0017214	XP_020893987.2			
OG0017215	XP_020894018.2			
OG0017216	XP_020894036.1			
OG0017217	XP_020894041.2			
OG0017218	XP_020894050.1			
OG0017219	XP_020894051.1			
OG0017220	XP_020894056.1			
OG0017221	XP_020894073.1			
OG0017222	XP_020894093.1			
OG0017223	XP_020894110.1			
OG0017224	XP_020894145.1			
OG0017225	XP_020894166.1			
OG0017226	XP_020894178.1			
OG0017227	XP_020894184.1			
OG0017228	XP_020894188.1			
OG0017229	XP_020894194.1			
OG0017230	XP_020894209.1			
OG0017231	XP_020894256.1			
OG0017232	XP_020894261.1			
OG0017233	XP_020894307.1			
OG0017234	XP_020894314.1			
OG0017235	XP_020894388.1			
OG0017236	XP_020894436.1			
OG0017237	XP_020894441.1			
OG0017238	XP_020894467.1			
OG0017239	XP_020894468.1			
OG0017240	XP_020894480.1			
OG0017241	XP_020894485.1			
OG0017242	XP_020894522.2			
OG0017243	XP_020894545.1			
OG0017244	XP_020894552.1			
OG0017245	XP_020894616.1			
OG0017246	XP_020894618.1			
OG0017247	XP_020894647.1			
OG0017248	XP_020894669.1			
OG0017249	XP_020894672.1			
OG0017250	XP_020894710.1			
OG0017251	XP_020894720.1			
OG0017252	XP_020894724.1			
OG0017253	XP_020894729.1			
OG0017254	XP_020894746.1			
OG0017255	XP_020894779.1			
OG0017256	XP_020894858.2			
OG0017257	XP_020894860.2			
OG0017258	XP_020894868.2			
OG0017259	XP_020894891.1			
OG0017260	XP_020894935.1			
OG0017261	XP_020894946.1			
OG0017262	XP_020894962.1			
OG0017263	XP_020895000.1			
OG0017264	XP_020895009.1			
OG0017265	XP_020895014.1			
OG0017266	XP_020895036.1			
OG0017267	XP_020895067.1			
OG0017268	XP_020895082.1			
OG0017269	XP_020895104.1			
OG0017270	XP_020895121.1			
OG0017271	XP_020895170.1			
OG0017272	XP_020895173.1			
OG0017273	XP_020895201.1			
OG0017274	XP_020895229.2			
OG0017275	XP_020895247.2			
OG0017276	XP_020895258.1			
OG0017277	XP_020895259.1			
OG0017278	XP_020895261.1			
OG0017279	XP_020895271.1			
OG0017280	XP_020895282.2			
OG0017281	XP_020895295.1			
OG0017282	XP_020895308.2			
OG0017283	XP_020895333.1			
OG0017284	XP_020895335.2			
OG0017285	XP_020895345.1			
OG0017286	XP_020895355.1			
OG0017287	XP_020895380.1			
OG0017288	XP_020895386.2			
OG0017289	XP_020895436.1			
OG0017290	XP_020895437.1			
OG0017291	XP_020895442.1			
OG0017292	XP_020895453.1			
OG0017293	XP_020895461.1			
OG0017294	XP_020895507.2			
OG0017295	XP_020895554.2			
OG0017296	XP_020895611.1			
OG0017297	XP_020895649.2			
OG0017298	XP_020895706.1			
