Orthogroup	Species	spis_longest_isoform_marker	Orthologs
OG0000000	xenia_longest_isoforms	XP_022785590.1	Xe_006312-T1, Xe_019095-T1, Xe_019178-T1, Xe_018898-T1, Xe_019057-T1, Xe_019140-T1, Xe_019175-T1, Xe_025101-T1, Xe_018873-T1, Xe_025106-T1, Xe_013646-T1, Xe_013647-T1, Xe_013645-T1, Xe_013641-T1, Xe_019004-T1, Xe_018888-T1, Xe_019022-T1, Xe_018920-T1, Xe_019090-T1, Xe_025137-T1, Xe_018951-T1, Xe_017314-T1, Xe_017286-T1, Xe_019025-T1, Xe_019222-T1, Xe_019314-T1, Xe_010009-T1, Xe_018860-T1, Xe_018950-T1, Xe_025134-T1, Xe_018848-T1, Xe_018960-T1, Xe_025138-T1, Xe_025128-T1, Xe_018961-T1, Xe_019160-T1, Xe_018926-T1, Xe_019204-T1, Xe_018866-T1, Xe_018917-T1, Xe_018996-T1, Xe_018859-T1, Xe_025151-T1, Xe_019124-T1, Xe_019081-T1, Xe_019197-T1, Xe_018968-T1, Xe_019208-T1, Xe_018984-T1, Xe_019170-T1, Xe_018991-T1, Xe_025112-T1, Xe_019065-T1, Xe_018980-T1, Xe_019217-T1, Xe_018970-T1, Xe_019112-T1, Xe_019033-T1, Xe_018896-T1, Xe_025122-T1, Xe_018982-T1, Xe_019041-T1, Xe_018909-T1, Xe_019149-T1, Xe_019005-T1, Xe_018854-T1, Xe_018862-T1, Xe_000274-T1, Xe_018976-T1, Xe_019154-T1, Xe_025146-T1, Xe_019110-T1, Xe_019019-T1, Xe_019121-T1, Xe_018877-T1, Xe_018965-T1, Xe_019037-T1, Xe_019061-T1, Xe_019093-T1, Xe_019118-T1, Xe_025148-T1, Xe_019305-T1, Xe_019144-T1, Xe_019142-T1, Xe_019188-T1, Xe_019186-T1, Xe_018897-T1, Xe_025102-T1, Xe_018933-T1, Xe_018959-T1, Xe_010211-T1, Xe_010858-T1, Xe_010233-T1, Xe_010214-T1, Xe_010861-T1, Xe_010209-T1, Xe_010226-T1, Xe_010219-T1, Xe_010216-T1, Xe_010866-T1, Xe_010206-T1, Xe_010865-T1, Xe_010863-T1, Xe_010203-T1, Xe_006636-T1, Xe_025107-T1, Xe_019071-T1, Xe_018962-T1, Xe_019056-T1, Xe_019074-T1, Xe_019161-T1, Xe_025142-T1, Xe_025127-T1, Xe_025126-T1, Xe_009272-T1, Xe_009604-T1, Xe_027374-T1, Xe_018899-T1, Xe_018333-T1, Xe_006319-T1, Xe_018818-T1, Xe_019157-T1, Xe_018817-T1, Xe_019064-T1, Xe_018998-T1, Xe_018885-T1, Xe_019308-T1, Xe_019052-T1, Xe_019067-T1, Xe_025144-T1, Xe_019201-T1, Xe_019066-T1, Xe_025154-T1, Xe_019104-T1, Xe_018944-T1, Xe_018842-T1, Xe_018921-T1, Xe_018939-T1, Xe_027977-T1, Xe_018937-T1, Xe_019021-T1, Xe_018954-T1, Xe_019075-T1, Xe_018891-T1, Xe_019293-T1, Xe_018820-T1, Xe_019080-T1, Xe_019199-T1, Xe_013648-T1, Xe_013642-T1, Xe_019024-T1, Xe_025141-T1, Xe_018942-T1, Xe_019224-T1, Xe_019051-T1, Xe_025125-T1, Xe_019227-T1, Xe_018945-T1
OG0000002	xenia_longest_isoforms	XP_022801671.1	Xe_021285-T1, Xe_020131-T1, Xe_017306-T1, Xe_017222-T1, Xe_017223-T1, Xe_017289-T1, Xe_017324-T1, Xe_017260-T1, Xe_017114-T1, Xe_025343-T1, Xe_017106-T1, Xe_017125-T1, Xe_016337-T1, Xe_025358-T1, Xe_017261-T1, Xe_002589-T1, Xe_002590-T1, Xe_017315-T1, Xe_017265-T1, Xe_017252-T1, Xe_017225-T1, Xe_027968-T1, Xe_017290-T1, Xe_007344-T1, Xe_007348-T1, Xe_007364-T1, Xe_007353-T1, Xe_007369-T1, Xe_007377-T1, Xe_007876-T1, Xe_007361-T1, Xe_007695-T1, Xe_017248-T1, Xe_017237-T1, Xe_017278-T1, Xe_017240-T1, Xe_001597-T1, Xe_017328-T1, Xe_017211-T1, Xe_017204-T1, Xe_017218-T1, Xe_018992-T1, Xe_017307-T1, Xe_012513-T1, Xe_007590-T1, Xe_007513-T1, Xe_007220-T1, Xe_023170-T1, Xe_023129-T1, Xe_016986-T1, Xe_017139-T1, Xe_017281-T1, Xe_022018-T1, Xe_003260-T1, Xe_022022-T1, Xe_024367-T1, Xe_017156-T1, Xe_017325-T1, Xe_017292-T1, Xe_017157-T1, Xe_028598-T1, Xe_018527-T1, Xe_018499-T1, Xe_018505-T1, Xe_018503-T1, Xe_017308-T1, Xe_017065-T1, Xe_016930-T1, Xe_017081-T1, Xe_017088-T1, Xe_025378-T1, Xe_016946-T1, Xe_017128-T1, Xe_016957-T1, Xe_000676-T1, Xe_016970-T1, Xe_016994-T1, Xe_025332-T1, Xe_017127-T1, Xe_016924-T1, Xe_017146-T1, Xe_025345-T1, Xe_016990-T1, Xe_016967-T1, Xe_025370-T1, Xe_017317-T1, Xe_017266-T1, Xe_025381-T1, Xe_016948-T1, Xe_017059-T1, Xe_017279-T1, Xe_017294-T1, Xe_017003-T1, Xe_025118-T1, Xe_025124-T1, Xe_019048-T1, Xe_019219-T1, Xe_019168-T1, Xe_018941-T1, Xe_025348-T1, Xe_019055-T1, Xe_017154-T1, Xe_018869-T1, Xe_025350-T1, Xe_017137-T1, Xe_016911-T1, Xe_016987-T1, Xe_016388-T1, Xe_017241-T1, Xe_001609-T1, Xe_017329-T1, Xe_019070-T1, Xe_017166-T1, Xe_017138-T1, Xe_017251-T1, Xe_017074-T1, Xe_017148-T1, Xe_019128-T1, Xe_019191-T1, Xe_017326-T1, Xe_017224-T1
OG0000002	aip_longest_isoforms	XP_022801671.1	XP_028514806.1
OG0000003	xenia_longest_isoforms	XP_022777525.1	Xe_023508-T1, Xe_028334-T1, Xe_018682-T1, Xe_018892-T1, Xe_024613-T1, Xe_020182-T1, Xe_025000-T1, Xe_027692-T1, Xe_008969-T1, Xe_023143-T1, Xe_026118-T1, Xe_028399-T1, Xe_016874-T1, Xe_015677-T1, Xe_019695-T1, Xe_019827-T1, Xe_019593-T1, Xe_025641-T1, Xe_001549-T1, Xe_008941-T1, Xe_023967-T1, Xe_015206-T1, Xe_019594-T1, Xe_008683-T1, Xe_011089-T1, Xe_008690-T1, Xe_017220-T1, Xe_026919-T1, Xe_013485-T1, Xe_026731-T1, Xe_006142-T1, Xe_001952-T1, Xe_021110-T1, Xe_001714-T1, Xe_019808-T1, Xe_001942-T1, Xe_027193-T1, Xe_008985-T1, Xe_015195-T1, Xe_006429-T1, Xe_016852-T1, Xe_025472-T1, Xe_019618-T1, Xe_006536-T1, Xe_026920-T1, Xe_026376-T1, Xe_006430-T1, Xe_001820-T1, Xe_022098-T1, Xe_006578-T1, Xe_017737-T1, Xe_022542-T1, Xe_000156-T1, Xe_013671-T1, Xe_028635-T1, Xe_006387-T1, Xe_008554-T1, Xe_017300-T1, Xe_022884-T1, Xe_006135-T1, Xe_017219-T1, Xe_012056-T1, Xe_017530-T1, Xe_018993-T1, Xe_019235-T1, Xe_014946-T1, Xe_026916-T1, Xe_024764-T1, Xe_006251-T1, Xe_023354-T1, Xe_015252-T1, Xe_006506-T1, Xe_006619-T1, Xe_013559-T2, Xe_024144-T1, Xe_016174-T1, Xe_024604-T1, Xe_015328-T1, Xe_001788-T1, Xe_023976-T1, Xe_020151-T1, Xe_006431-T1, Xe_023582-T1, Xe_017004-T1, Xe_026547-T1, Xe_015264-T1, Xe_007652-T1, Xe_027396-T1, Xe_015149-T1, Xe_003087-T1, Xe_027071-T1, Xe_026199-T1, Xe_025583-T1, Xe_025582-T1, Xe_005809-T1, Xe_007150-T1, Xe_008733-T1, Xe_019800-T1, Xe_010477-T1, Xe_001862-T1, Xe_016177-T1, Xe_025157-T1, Xe_017985-T1, Xe_017442-T1, Xe_027112-T1, Xe_025119-T1, Xe_027999-T1, Xe_007658-T1, Xe_027032-T1, Xe_024257-T1, Xe_016170-T1, Xe_006351-T1
OG0000005	xenia_longest_isoforms	XP_022789382.1	Xe_000935-T1, Xe_016700-T1, Xe_023323-T1, Xe_023320-T1, Xe_006543-T1, Xe_018376-T1, Xe_016926-T1, Xe_028406-T1, Xe_006316-T1, Xe_017001-T1, Xe_024922-T1, Xe_017320-T1, Xe_010372-T1, Xe_026604-T1, Xe_001410-T1, Xe_006442-T1, Xe_017765-T1, Xe_024152-T1, Xe_028725-T1, Xe_018008-T1, Xe_015310-T1, Xe_011061-T1, Xe_019841-T1, Xe_017327-T1, Xe_025578-T1, Xe_027089-T1, Xe_017750-T1, Xe_023434-T1, Xe_011225-T1, Xe_028519-T1, Xe_004160-T1, Xe_023927-T1, Xe_026124-T1, Xe_016883-T1, Xe_000938-T1, Xe_022443-T1, Xe_015262-T1, Xe_016519-T1, Xe_007563-T1, Xe_000010-T1, Xe_003923-T1, Xe_027437-T1, Xe_003709-T1, Xe_016956-T1, Xe_028716-T1, Xe_018956-T1, Xe_005191-T1, Xe_028595-T1, Xe_024282-T1, Xe_011161-T1, Xe_011108-T1, Xe_028006-T1, Xe_009110-T1, Xe_015158-T1, Xe_007630-T1, Xe_009236-T1, Xe_003981-T1, Xe_026709-T1, Xe_019159-T1, Xe_008915-T1, Xe_008595-T1, Xe_006247-T1, Xe_028342-T1, Xe_027068-T1, Xe_025169-T1, Xe_007645-T1, Xe_014698-T1, Xe_023259-T1, Xe_022448-T1, Xe_028697-T1, Xe_028710-T1, Xe_028660-T1, Xe_028671-T1, Xe_027440-T1, Xe_015111-T1, Xe_028256-T1, Xe_003215-T1, Xe_017209-T1, Xe_004770-T1, Xe_005763-T1, Xe_008861-T1, Xe_006402-T1, Xe_025089-T1, Xe_006735-T1, Xe_015207-T1, Xe_006129-T1, Xe_027421-T1, Xe_006044-T1, Xe_015274-T1, Xe_014166-T1, Xe_017077-T1, Xe_001986-T1, Xe_019676-T1, Xe_006933-T1, Xe_006732-T1, Xe_018405-T1, Xe_027704-T1, Xe_003524-T1, Xe_018404-T1, Xe_023856-T1, Xe_026733-T1, Xe_010501-T1, Xe_001787-T1, Xe_001197-T1, Xe_003862-T1, Xe_013588-T1, Xe_014607-T1
OG0000006	xenia_longest_isoforms	XP_022807949.1, XP_022807720.1, XP_022810214.1, XP_022799235.1, XP_022805952.1	Xe_002016-T1, Xe_028392-T1, Xe_028407-T1, Xe_023708-T1, Xe_016644-T1, Xe_025917-T1, Xe_028106-T1, Xe_023685-T1, Xe_023397-T1, Xe_023690-T1, Xe_023408-T1, Xe_028274-T1, Xe_028403-T1, Xe_028109-T1, Xe_028251-T1, Xe_023695-T1, Xe_023406-T1, Xe_023395-T1, Xe_023398-T1, Xe_023686-T1, Xe_009692-T1, Xe_009691-T1, Xe_018771-T1, Xe_018773-T1, Xe_010157-T1
OG0000006	nvec_longest_isoform	XP_022807949.1, XP_022807720.1, XP_022810214.1, XP_022799235.1, XP_022805952.1	XP_048584888.1
OG0000006	xenia_longest_isoforms	XP_022787472.1	Xe_024665-T1, Xe_024671-T1, Xe_019135-T1, Xe_019010-T1, Xe_025139-T1, Xe_028241-T1, Xe_023746-T1, Xe_027801-T1, Xe_023704-T1, Xe_008872-T1, Xe_008867-T1, Xe_018972-T1, Xe_019310-T1, Xe_022972-T1, Xe_022912-T1, Xe_022959-T1, Xe_022924-T1, Xe_022830-T1, Xe_022926-T1, Xe_022932-T1, Xe_023735-T1, Xe_023732-T1, Xe_023701-T1, Xe_023339-T1, Xe_023436-T1, Xe_023448-T1, Xe_023214-T1, Xe_022902-T1, Xe_027705-T1, Xe_023224-T1, Xe_023209-T1, Xe_023759-T1, Xe_000730-T1, Xe_023683-T1, Xe_027813-T1, Xe_027809-T1, Xe_028283-T1, Xe_024206-T1, Xe_027754-T1, Xe_022769-T1, Xe_027745-T1, Xe_025492-T1, Xe_022886-T1, Xe_023148-T1, Xe_023085-T1, Xe_022983-T1, Xe_022840-T1, Xe_023144-T1, Xe_023235-T1, Xe_023199-T1, Xe_023141-T1, Xe_023229-T1, Xe_022768-T1, Xe_023238-T1, Xe_023181-T1, Xe_022887-T1, Xe_022986-T1, Xe_022991-T1, Xe_023089-T1, Xe_023216-T1, Xe_023217-T1, Xe_023210-T1, Xe_022990-T1, Xe_022862-T1, Xe_022916-T1, Xe_023335-T1
OG0000007	aip_longest_isoforms	XP_022805177.1, XP_022796395.1, XP_022805178.1	XP_020908124.1
OG0000007	aip_longest_isoforms	XP_022807280.1, XP_022777499.1, XP_022807273.1, XP_022808750.1, XP_022807699.1, XP_022808091.1, XP_022777757.1, XP_022807336.1, XP_022803731.1, XP_022799298.1, XP_022807861.1, XP_022795743.1, XP_022807279.1, XP_022808092.1, XP_022795754.1, XP_022810527.1, XP_022810417.1, XP_022804178.1, XP_022807706.1, XP_022800751.1, XP_022800745.1, XP_022808095.1, XP_022808202.1, XP_022799295.1, XP_022799299.1, XP_022802382.1, XP_022777498.1, XP_022810255.1, XP_022809434.1, XP_022803659.1, XP_022777497.1, XP_022781158.1, XP_022810339.1, XP_022781087.1, XP_022802389.1, XP_022809433.1, XP_022777541.1, XP_022800755.1, XP_022809167.1, XP_022810419.1, XP_022810275.1, XP_022802392.1, XP_022790112.1, XP_022800737.1, XP_022795757.1, XP_022801250.1, XP_022795742.1, XP_022796383.1, XP_022795733.1, XP_022796418.1, XP_022809168.1, XP_022795716.1, XP_022793323.1, XP_022809729.1, XP_022809523.1, XP_022802381.1, XP_022804177.1, XP_022802395.1, XP_022792749.1, XP_022781133.1, XP_022810529.1, XP_022793287.1, XP_022807774.1, XP_022807174.1, XP_022785107.1, XP_022803122.1, XP_022808215.1, XP_022793270.1, XP_022793667.1, XP_022777994.1, XP_022793273.1, XP_022805605.1, XP_022803123.1, XP_022793670.1, XP_022802386.1, XP_022810554.1, XP_022800744.1, XP_022809630.1, XP_022793079.1, XP_022808789.1, XP_022796405.1, XP_022804176.1, XP_022804170.1, XP_022802383.1, XP_022810254.1, XP_022807771.1, XP_022807772.1, XP_022809179.1, XP_022796406.1, XP_022793282.1, XP_022792750.1, XP_022803128.1, XP_022807950.1, XP_022802710.1, XP_022802714.1, XP_022807724.1, XP_022800040.1, XP_022800044.1	XP_020908123.1
