Master.Protein.Accessions,ID,Expal4.Quality.Tier.Quality.Tier,Expal4.prot.profile.stdev,Expal4.prot.aggv.dist.mean,Expal4.prot.aggv.dist.max,Expal4.prot.nb.feats,Expal4.prot.mean.SPS.MM,Expal4.PCA.Dim.1,Expal4.PCA.Dim.2,Expal4.PCA.Dim.3,Expal4.tSNE.Dim.1,Expal4.tSNE.Dim.2,Expal4.tSNE.2D.p40.Dim.1,Expal4.tSNE.2D.p40.Dim.2,Expal4.tSNE.3D.p40.Dim.1,Expal4.tSNE.3D.p40.Dim.2,Expal4.tSNE.3D.p40.Dim.3,Expal4.umap.Dim.1,Expal4.umap.Dim.2,Expal4.umap.3D.Dim.1,Expal4.umap.3D.Dim.2,Expal4.umap.3D.Dim.3,Expal4.126,Expal4.127N,Expal4.127C,Expal4.130C,Expal4.131N,Expal4.131C,Expal4.132N,Expal4.132C,Expal4.133N,Expal4.133C,Expal4.134N,Expal4.134C,XP,pepSize,XM,geneID,gene_coords,LOC,HumanGene,signalP,Pfam,KEGG,Panther,refseq_desc,AIP,KXJ_pepSize
KXJ04195.1,Host,tier1,0.033111501,0.11122823235045312,0.1500956863959288,3,76.66666666666667,-1.795946655,0.7850818571641324,0.5543043540596612,-16.48171331,-51.17084717,1.0083346576075494,-80.41655726,86.51318348172158,-10.43456435,45.397098309279635,0.1669651547886266,3.9694947881588334,-1.345267157,0.17617538746504735,3.7026734933245002,0.075886575,0.062165147285619636,0.13634108203771556,0.095520273,0.082436607,0.05512847,0.043409216,0.09365884,0.10818395967734487,0.12153871681946772,0.1027796059723244,0.022951507362208756,XP_020894807.1,664,XM_021039148.1,110233821,NW_018384847.1:147490-156355,LOC110233821,SDHA,-,"Succ_DH_flav_C(1),FAD_binding_2(1)","K00234:SDHA,_SDH1;_succinate_dehydrogenase_(ubiquinone)_flavoprotein_subunit_[EC:1.3.5.1]","PTHR11632:SF51::SUCCINATE_DEHYDROGENASE_[UBIQUINONE]_FLAVOPROTEIN_SUBUNIT,_MITOCHONDRIAL","succinate_dehydrogenase_[ubiquinone]_flavoprotein_subunit,_mitochondrial",AIPGENE18402,726
KXJ04202.1,Host,tier2,0.040430014021512056,0.19134795930712922,0.19134795930712922,2,55,-1.735633102,-0.616416572,-0.253943298,8.114848731,-79.13910928,60.449204182727804,-104.5465041,96.28352722189845,32.70171528795459,2.2204345454788452,-0.871457365,6.100660873550105,-1.332544302,-1.945890817,4.3813760208099275,0.19907811043630436,0.10184807067124363,0.085042261,0.089325798,0.083293552,0.056187785,0.048977351441196054,0.065707693,0.092861207,0.067968521,0.058403036,0.051306614,XP_020894816.1,419,XM_021039157.2,110233828,NW_018384847.1:346487-353551,LOC110233828,-,-,SPATA6(1),K23224:SPATA6;_spermatogenesis-associated_protein_6,PTHR16435:SF6::SPATA6_DOMAIN-CONTAINING_PROTEIN,-,AIPGENE18393,419
KXJ04219.1,Host,tier1,0.080584859,NA,NA,1,70,-4.097251266,-1.825765134,-0.848469737,-22.5615807,-87.56966571,9.760315323860777,-133.0145001,141.04543731865337,-3.59229987,36.62928579635155,1.0423023413869599,6.800538990329087,-2.8040526,-0.825336962,5.6292260322821175,0.11732412800008217,0.2926612831614605,0.16777762476881913,0.056501052710272365,0.033742185,0.018963991,0.018299046232802055,0.030390856,0.065674294,0.052204953397372626,0.11499583688597483,0.031464748,XP_028513326.1,257,XM_028657525.1,110233831,NW_018384847.1:206116-210031,LOC110233831,PSMD14,-,"MitMem_reg(1),JAB(1),Prok-JAB(1)","K03030:PSMD14,_RPN11,_POH1;_26S_proteasome_regulatory_subunit_N11",PTHR10410:SF23::26S_PROTEASOME_REGULATORY_SUBUNIT_RPN11,26S_proteasome_non-ATPase_regulatory_subunit_14,AIPGENE18391,202
KXJ04240.1,Host,tier1,0.07423958,NA,NA,1,70,-4.055935124,-0.786589773,-0.815619393,-23.86515672,-85.66976744,7.535774558886191,-130.128199,138.34043706057955,-3.09758725,39.66582646298226,1.0414269095516282,6.469576495776495,-2.451039245,-0.63232775,5.4850683057482215,0.10378878415914236,0.2723559727317985,0.1200568307452692,0.061016747,0.033521491306232075,0.020185694202819713,0.019325489833344287,0.038205275,0.076402624,0.082966414,0.1566788050610274,0.015495871511882184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KXJ04243.1,Host,tier1,0.052585085063116536,0.11427916938284155,0.11427916938284155,2,80,-2.76825868,1.609777165075867,0.8676251736598674,-30.24191033,-52.13524224,-21.40258383,-82.36939574,72.30264499042724,-1.593427359,66.01359738,1.2841722324613807,3.8382136308458787,-0.209291066,0.4909391701073478,3.9113627018823784,0.090616519,0.08407688,0.077421951,0.11536209912896458,0.071837738,0.028555821,0.034340041130853066,0.042764156790076814,0.12772109370835683,0.096068071,0.2102401462866854,0.020995482797967396,XP_020909933.1,111,XM_021054274.2,110247805,NW_018387838.1:7-905,LOC110247805,-,-,G6PD_C(1),"K00036:G6PD,_zwf;_glucose-6-phosphate_1-dehydrogenase_[EC:1.1.1.49_1.1.1.363]",PTHR23429:SF0::GLUCOSE-6-PHOSPHATE_1-DEHYDROGENASE,glucose-6-phosphate_1-dehydrogenase,AIPGENE24319,60
KXJ04519.1,Host,tier1,0.10864892751231597,0.19340223402952153,0.28655559044308615,4,85,-4.782989281,-2.917474541,-1.039011118,-24.79126813,-90.82454552,7.175229414392498,-138.1447057,147.87775763443028,-4.216451719,38.92307047658981,1.178860398515834,7.080290937097617,-2.975285681,-0.872425919,5.917381354126228,0.1423176274968896,0.3929891753107964,0.14124097751902823,0.072121661,0.023748628,0.004899004,0.006850146,0.017970631699701846,0.042178993,0.071020984,0.07374538,0.010916794348271424,XP_020907900.1,254,XM_021052241.1,110245944,NW_018387151.1:7-1099,LOC110245944,-,-,"VWA_2(1),VWA(1),VWA_CoxE(1)",K24506:VIT;_vitrin,PTHR22588::UNCHARACTERIZED,"cochlin,_partial",AIPGENE5943,246
KXJ04597.1,Host,tier2,0.038640562,NA,NA,1,50,-0.916509949,0.2201704486448244,-0.029573165,-17.3756831,-46.07197226,-0.422782369,-73.52504592,83.67164744796646,-20.42238853,48.893314832575314,0.22210396144533195,3.3960921564845292,-1.28153257,0.4346388046468679,3.3053543214301584,0.037019481,0.051298139,0.13439178265580315,0.080569823,0.08182982,0.10635748460830924,0.05614677,0.10920079432725079,0.065197714,0.1652686222373852,0.066363562,0.046356008,XP_028516717.1,185,XM_028660916.1,110245234,NW_018386928.1:164-1256,LOC110245234,-,-,-,-,-,-,AIPGENE21993,185
KXJ04665.1,Host,tier2,0.071866412,NA,NA,1,60,-2.366377268,-3.163563536,-1.044383776,24.117000633083258,-81.96231173,83.001513,-98.71526496,121.81586697221634,26.88810518,-14.91931911,-1.775424094,6.718028113,-2.257790668,-2.34942723,5.189281540085307,0.24113839852323019,0.14767594273253346,0.19400600946612687,0.068036177,0.042558106857653606,0.065383791,0.066625421,0.057695045,0.040356015966263696,0.020395817060849183,0.013080989,0.043048286539340126,XP_020906267.2,152,XM_021050608.2,110244402,NW_018386737.1:9-1372,LOC110244402,-,-,Laminin_N(1),"K06243:LAMB2;_laminin,_beta_2","PTHR10574:SF197::LAMININ,_BETA_1B-RELATED","laminin_subunit_beta-1,_partial",AIPGENE14484,178
KXJ04845.1,Host,tier2,0.043036803,NA,NA,1,50,-1.797913573,1.7637898669618244,0.2988070530133652,-27.01634876,-41.57515792,-14.21281638,-66.919915,71.02157787754459,-19.43914933,56.38277567533197,0.9701316883557363,3.3985857587888058,-0.75517774,0.8897295059685124,3.5178992903172066,0.032532841,0.046953828,0.12010043626001064,0.07421745,0.080490267,0.053081194,0.04216627,0.097011053,0.11672068353531898,0.12804025404338706,0.16850455592873767,0.040181167,XP_020904172.1,359,XM_021048513.2,110242513,NW_018386208.1:99-1343,LOC110242513,-,-,MIF4G(1),K03260:EIF4G;_translation_initiation_factor_4G,PTHR23253:SF10::EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_4_GAMMA_1,eukaryotic_translation_initiation_factor_4_gamma_1,AIPGENE13948,191
KXJ04901.1,Host,tier2,0.026321738678519575,NA,NA,1,60,-1.504364222,1.018688739829012,-0.114387451,-28.90020412,-41.75712206,-27.25176377,-63.47940638,54.33244429515527,-5.157343317,64.19678314676155,0.8430063147560372,3.3035443608383326,-0.589838795,0.5201260477998222,3.1042722045378017,0.064761951,0.064860365,0.077848851,0.085768081,0.070513774,0.061842640507939896,0.07308481,0.076686428,0.09342196,0.1519193706297211,0.11452652771914516,0.064765241,XP_020903456.2,82,XM_021047797.2,110241875,NW_018386073.1:184-1746,LOC110241875,-,-,Sec1(1),"K15292:STXBP1,_MUNC18-1;_syntaxin-binding_protein_1",PTHR11679:SF62::SI:RP71-10D23.3,"syntaxin-binding_protein_1,_partial",AIPGENE737,94
