Orthogroup	spis_longest_isoform_marker	aip_longest_isoforms
OG0000002	XP_022801671.1	XP_028514806.1
OG0000007	XP_022805177.1, XP_022796395.1, XP_022805178.1	XP_020908124.1
OG0000007	XP_022807280.1, XP_022777499.1, XP_022807273.1, XP_022808750.1, XP_022807699.1, XP_022808091.1, XP_022777757.1, XP_022807336.1, XP_022803731.1, XP_022799298.1, XP_022807861.1, XP_022795743.1, XP_022807279.1, XP_022808092.1, XP_022795754.1, XP_022810527.1, XP_022810417.1, XP_022804178.1, XP_022807706.1, XP_022800751.1, XP_022800745.1, XP_022808095.1, XP_022808202.1, XP_022799295.1, XP_022799299.1, XP_022802382.1, XP_022777498.1, XP_022810255.1, XP_022809434.1, XP_022803659.1, XP_022777497.1, XP_022781158.1, XP_022810339.1, XP_022781087.1, XP_022802389.1, XP_022809433.1, XP_022777541.1, XP_022800755.1, XP_022809167.1, XP_022810419.1, XP_022810275.1, XP_022802392.1, XP_022790112.1, XP_022800737.1, XP_022795757.1, XP_022801250.1, XP_022795742.1, XP_022796383.1, XP_022795733.1, XP_022796418.1, XP_022809168.1, XP_022795716.1, XP_022793323.1, XP_022809729.1, XP_022809523.1, XP_022802381.1, XP_022804177.1, XP_022802395.1, XP_022792749.1, XP_022781133.1, XP_022810529.1, XP_022793287.1, XP_022807774.1, XP_022807174.1, XP_022785107.1, XP_022803122.1, XP_022808215.1, XP_022793270.1, XP_022793667.1, XP_022777994.1, XP_022793273.1, XP_022805605.1, XP_022803123.1, XP_022793670.1, XP_022802386.1, XP_022810554.1, XP_022800744.1, XP_022809630.1, XP_022793079.1, XP_022808789.1, XP_022796405.1, XP_022804176.1, XP_022804170.1, XP_022802383.1, XP_022810254.1, XP_022807771.1, XP_022807772.1, XP_022809179.1, XP_022796406.1, XP_022793282.1, XP_022792750.1, XP_022803128.1, XP_022807950.1, XP_022802710.1, XP_022802714.1, XP_022807724.1, XP_022800040.1, XP_022800044.1	XP_020908123.1
OG0000011	XP_022801878.1	XP_020911832.1
OG0000012	XP_022778388.1, XP_022803001.1, XP_022777925.1, XP_022777585.1, XP_022808006.1, XP_022809811.1, XP_022785614.1, XP_022788736.1, XP_022801244.1, XP_022796732.1, XP_022796737.1, XP_022809184.1, XP_022802999.1, XP_022778546.1, XP_022807515.1, XP_022810436.1, XP_022777824.1, XP_022809611.1, XP_022778248.1, XP_022805295.1, XP_022808483.1, XP_022808784.1, XP_022778437.1	XP_028517823.1
OG0000012	XP_022796767.1, XP_022777580.1, XP_022809365.1, XP_022777832.1, XP_022810056.1, XP_022809612.1, XP_022810138.1, XP_022807525.1, XP_022796722.1, XP_022807527.1, XP_022790891.1, XP_022803336.1, XP_022803349.1, XP_022803346.1, XP_022808007.1, XP_022803350.1, XP_022808009.1, XP_022801231.1, XP_022788756.1, XP_022808992.1, XP_022801229.1, XP_022809808.1, XP_022809182.1, XP_022807518.1, XP_022803347.1, XP_022809186.1, XP_022810489.1, XP_022803005.1, XP_022796951.1, XP_022808010.1, XP_022796763.1, XP_022796764.1, XP_022796733.1, XP_022778375.1, XP_022777990.1, XP_022808310.1, XP_022803337.1, XP_022796718.1, XP_022777850.1, XP_022809183.1, XP_022807521.1, XP_022785615.1, XP_022790917.1, XP_022796714.1, XP_022784545.1, XP_022807523.1, XP_022808397.1, XP_022793691.1, XP_022810053.1, XP_022810066.1, XP_022808396.1, XP_022808394.1	XP_028518083.1, XP_020917011.1, XP_028515662.1
OG0000015	XP_022785418.1	XP_020898206.1
OG0000015	XP_022786675.1, XP_022792193.1, XP_022792153.1, XP_022792154.1, XP_022795046.1, XP_022802814.1, XP_022795050.1, XP_022800799.1, XP_022809050.1	XP_020898929.1, XP_020907413.1, XP_020915299.1, XP_020906440.2, XP_020907416.2, XP_020915296.1, XP_028516783.1, XP_020901795.2, XP_020915295.1, XP_020897244.1, XP_020909125.2, XP_020909200.1
OG0000015	XP_022784276.1	XP_020901662.1
OG0000015	XP_022778220.1, XP_022791932.1	XP_020906128.1, XP_028514603.1, XP_020899430.1, XP_028514372.1
OG0000018	XP_022778163.1	XP_020895312.1
OG0000018	XP_022801177.1	XP_028515739.1
OG0000018	XP_022810222.1	XP_020892825.1, XP_020903733.1
OG0000028	XP_022800298.1, XP_022800552.1	XP_020901945.1
OG0000028	XP_022785641.1, XP_022805449.1	XP_020900729.1
OG0000028	XP_022784187.1, XP_022784145.1	XP_020907568.1, XP_020905382.1
OG0000028	XP_022805052.1, XP_022782831.1	XP_028516191.1, XP_020905366.1
OG0000028	XP_022784192.1	XP_020905383.1
OG0000028	XP_022805039.1, XP_022805055.1, XP_022805058.1, XP_022784188.1, XP_022805053.1, XP_022805054.1	XP_020917390.1
OG0000028	XP_022782030.1	XP_020914014.1, XP_020894395.1, XP_020905359.1
OG0000028	XP_022780558.1	XP_028516187.1, XP_020905390.1, XP_020905365.1, XP_020910879.1, XP_028517859.1, XP_020910875.1, XP_020908673.1
