Orthogroup	aip_longest_isoforms	nvec_longest_isoform
OG0000006	XP_020908294.1	XP_048584948.1
OG0000007	XP_020908123.1	XP_001632732.3
OG0000012	XP_028517823.1	XP_048590314.1
OG0000015	XP_020898206.1	XP_001624434.2
OG0000015	XP_028516950.1	XP_032221175.2
OG0000015	XP_020898929.1, XP_020907413.1, XP_020915299.1, XP_020906440.2, XP_020907416.2, XP_020915296.1, XP_028516783.1, XP_020901795.2, XP_020915295.1, XP_020897244.1, XP_020909125.2, XP_020909200.1	XP_048582340.1
OG0000015	XP_020901662.1	XP_001632454.3
OG0000015	XP_020906128.1, XP_028514603.1, XP_020899430.1, XP_028514372.1	XP_032236054.2
OG0000018	XP_020895312.1	XP_001629721.2
OG0000018	XP_028515739.1	XP_032220304.2
OG0000028	XP_020901945.1	XP_048585670.1, XP_001626388.1
OG0000028	XP_020900729.1	XP_048576146.1
OG0000028	XP_020907568.1, XP_020905382.1	XP_001640050.2, XP_048576193.1, XP_001640047.2
OG0000028	XP_020905383.1	XP_032221010.2
OG0000028	XP_020917390.1	XP_001641088.3
OG0000028	XP_020914014.1	XP_032229419.1
OG0000028	XP_020894395.1, XP_020905359.1	XP_048576267.1
OG0000028	XP_028516187.1	XP_048575815.1, XP_032221500.2
OG0000028	XP_020905390.1, XP_020905365.1	XP_001627579.2
OG0000028	XP_020910879.1, XP_028517859.1, XP_020910875.1	XP_032224826.2
OG0000028	XP_020908673.1	XP_048581324.1
OG0000031	XP_020914234.1	XP_048575684.1
OG0000035	XP_020914388.1, XP_020904729.1	XP_048585684.1, XP_048585982.1
OG0000039	XP_020909873.1, XP_028514906.1	XP_032242158.1
OG0000039	XP_028517518.1	XP_032242156.1, XP_032242159.2
OG0000040	XP_020917809.2	XP_048590439.1
OG0000043	XP_020904632.2, XP_020904631.2, XP_020908207.2, XP_028517020.1, XP_028517014.1, XP_028517013.1, XP_028513319.1, XP_020898257.1, XP_020915140.2, XP_020891997.1, XP_028519070.1, XP_020915178.2, XP_020915176.2, XP_028519064.1, XP_020901441.2, XP_020915180.1, XP_028516032.1, XP_028516033.1, XP_028514716.1, XP_020894074.1, XP_028518426.1, XP_028513017.1, XP_020911305.1, XP_020911302.1, XP_028517973.1, XP_020907515.1, XP_020907513.1, XP_028514739.1, XP_020897252.2, XP_020912618.2, XP_028513999.1, XP_028519636.1, XP_028518584.1, XP_020905389.2, XP_020905386.2, XP_020891989.1, XP_020896004.1, XP_020916477.1, XP_020897440.1, XP_020907518.1, XP_028516819.1, XP_028516808.1, XP_020907550.2, XP_020914982.2, XP_028514741.1, XP_028514743.1, XP_020899992.1, XP_020899995.1	XP_048577458.1
OG0000048	XP_020897096.1	XP_001630908.3
OG0000053	XP_020903072.1	XP_001627538.2
OG0000058	XP_020901049.1	XP_032229548.2
OG0000064	XP_020909418.1, XP_020905080.1, XP_020917218.1, XP_020916850.1, XP_028514288.1, XP_020916851.1, XP_028514276.1, XP_028514285.1, XP_020917219.1, XP_028514297.1, XP_028513671.1, XP_020894420.1, XP_020894419.1	XP_032237816.2, XP_001621520.3, XP_001625504.3
OG0000072	XP_020895817.1, XP_028516946.1	XP_048590369.1, XP_048575383.1
OG0000073	XP_020901367.1	XP_032227996.1
OG0000078	XP_020897924.1, XP_028512638.1, XP_020914126.1, XP_020906911.1, XP_020914128.2, XP_020906907.1, XP_028517030.1, XP_020908228.1, XP_020892312.1, XP_020892311.1, XP_020900588.1, XP_020907501.1, XP_020906993.1	XP_001641937.3, XP_001641938.3, XP_001631095.2, XP_048580369.1, XP_001632831.3, XP_001632832.2
OG0000078	XP_020911045.1	XP_001639356.2
OG0000080	XP_020897888.1	XP_001640356.1, XP_048575534.1, XP_001640351.1, XP_001632584.1
OG0000080	XP_020907333.1	XP_048575533.1
OG0000080	XP_020895988.1, XP_020916263.1, XP_020894115.1, XP_020896180.1, XP_020917549.1, XP_020893578.1, XP_020906584.1	XP_001630309.1
OG0000081	XP_020893966.1	XP_032238230.2
OG0000085	XP_020914090.1	XP_001630205.1
OG0000085	XP_020912545.1	XP_001626757.1, XP_001626758.1
OG0000085	XP_020914096.1	XP_001636868.1
OG0000085	XP_020914097.1	XP_048579528.1
OG0000085	XP_020896491.1	XP_001634541.2
OG0000085	XP_020903492.1	XP_032234685.1
OG0000085	XP_020907443.1	XP_001637863.2
OG0000085	XP_020893194.1	XP_048580195.1, XP_001634538.3
OG0000085	XP_020895778.1	XP_001629668.1
OG0000085	XP_020914091.1	XP_032228524.1
OG0000086	XP_020895618.2	XP_048590096.1, XP_032224844.1, XP_048590293.1, XP_048590090.1, XP_048583761.1, XP_048584117.1, XP_001630664.3, XP_001624508.2, XP_048583740.1, XP_001636348.2, XP_032241916.1, XP_048576136.1, XP_032234403.2, XP_032235441.2, XP_032227926.1, XP_048580383.1, XP_048580384.1, XP_048576142.1, XP_001638568.2, XP_032226134.1, XP_048584087.1, XP_032226133.1, XP_048590526.1, XP_048590092.1, XP_048590095.1, XP_048590100.1, XP_001628274.2, XP_048583488.1, XP_001628259.2, XP_048583671.1, XP_048583799.1, XP_048590525.1, XP_048590101.1, XP_048583136.1, XP_048582472.1, XP_048582748.1
OG0000088	XP_020914552.1, XP_028518450.1, XP_028513092.1	XP_048576863.1, XP_032241700.2, XP_032238844.2
OG0000088	XP_020902114.1, XP_020902155.2, XP_028515347.1, XP_020893402.2, XP_020893406.1, XP_020902122.1, XP_020902154.1, XP_020896482.1	XP_032243090.1
OG0000089	XP_020916224.1	XP_001623766.1
OG0000089	XP_020900503.1	XP_001640436.1
OG0000089	XP_020906581.1, XP_020899533.1, XP_020913117.1	XP_032238225.1
OG0000089	XP_020917548.1	XP_001628765.1
OG0000089	XP_020896922.1	XP_001639376.1
OG0000089	XP_020906582.1	XP_001640469.1
OG0000090	XP_020894078.1, XP_028519091.1, XP_028518942.1, XP_020908130.2, XP_028516393.1	XP_032226582.1
