XP_020914141.1	Xe_010393
XP_020896292.1	Xe_000946
XP_020903325.1	Xe_012900
XP_028518318.1	Xe_023113
XP_020893090.1	Xe_009791
XP_020896239.1	Xe_000369
XP_020900427.1	Xe_012916
XP_020901620.1	Xe_002424
XP_020902015.1	Xe_016107
XP_020904942.1	Xe_003070
XP_020905100.1	Xe_008078
XP_020905432.1	Xe_009181
XP_020906468.1	Xe_005243
XP_020911334.1	Xe_000656
XP_020912789.1	Xe_002452
XP_020917178.2	Xe_021399
XP_028515818.1	Xe_002761
XP_020891959.1	Xe_012247
XP_020892280.1	Xe_000467
XP_020892451.1	Xe_022279
XP_020892594.1	Xe_012100
XP_020892765.1	Xe_008420
XP_020892836.1	Xe_000725
XP_020892842.1	Xe_022238
XP_020893111.1	Xe_021429
XP_020893121.1	Xe_001279
XP_020893815.1	Xe_000306
XP_020894225.1	Xe_009995
XP_020894271.1	Xe_011705
XP_020894337.1	Xe_011743
XP_020894803.1	Xe_002604
XP_020895108.1	Xe_009432
XP_020895353.1	Xe_002746
XP_020895811.1	Xe_025186
XP_020895934.1	Xe_020499
XP_020896133.1	Xe_002828
XP_020896259.1	Xe_001066
XP_020896469.1	Xe_021473
XP_020897061.1	Xe_013838
XP_020897223.1	Xe_014336
XP_020897283.1	Xe_002776
XP_020897423.1	Xe_002127
XP_020897808.1	Xe_005280
XP_020897882.1	Xe_000397
XP_020897889.1	Xe_002391
XP_020898099.1	Xe_003638
XP_020898228.1	Xe_013530
XP_020898735.1	Xe_022134
XP_020898741.1	Xe_011036
XP_020899112.1	Xe_020689
XP_020899553.1	Xe_023248
XP_020899871.1	Xe_013044
XP_020900122.2	Xe_021747
XP_020900534.1	Xe_018498
XP_020901074.1	Xe_000243
XP_020901361.1	Xe_016506
XP_020901392.1	Xe_017509
XP_020901555.2	Xe_018599
XP_020901570.2	Xe_020727
XP_020901703.1	Xe_002879
XP_020901710.1	Xe_004264
XP_020901988.1	Xe_014967
XP_020901989.1	Xe_015731
XP_020902207.1	Xe_020445
XP_020902722.1	Xe_008174
XP_020902793.1	Xe_008108
XP_020902803.1	Xe_008543
XP_020903051.1	Xe_000518
XP_020903145.1	Xe_002983
XP_020903769.1	Xe_009812
XP_020904135.1	Xe_003590
XP_020904506.1	Xe_021946
XP_020904688.1	Xe_005646
XP_020904787.1	Xe_023286
XP_020905496.1	Xe_021771
XP_020905516.2	Xe_022374
XP_020905521.1	Xe_015637
XP_020906601.1	Xe_008243
XP_020907283.1	Xe_004316
XP_020907479.1	Xe_013168
XP_020908260.1	Xe_016164
XP_020908981.1	Xe_013022
XP_020908982.1	Xe_013225
XP_020909371.1	Xe_011853
XP_020909774.1	Xe_014680
XP_020909934.1	Xe_008120
XP_020909944.1	Xe_008117
XP_020910222.1	Xe_029013
XP_020910450.1	Xe_021549
XP_020910659.1	Xe_000360
XP_020911080.2	Xe_015665
XP_020911552.1	Xe_002883
XP_020911661.1	Xe_002530
XP_020911675.1	Xe_015737
XP_020911745.1	Xe_016138
XP_020911835.1	Xe_014728
XP_020912054.1	Xe_006068
XP_020912067.1	Xe_006066
XP_020912336.1	Xe_003396
XP_020912884.1	Xe_004887
XP_020913108.1	Xe_001245
XP_020913158.1	Xe_020464
XP_020913335.1	Xe_020452
XP_020913639.1	Xe_012614
XP_020913843.1	Xe_013904
XP_020914344.1	Xe_003071
XP_020914602.1	Xe_012893
XP_020915144.1	Xe_012083
XP_020915363.1	Xe_021528
XP_020915794.1	Xe_000394
XP_020915823.1	Xe_007912
XP_020915867.1	Xe_005018
XP_020916248.1	Xe_007487
XP_020916259.1	Xe_007874
XP_020916598.1	Xe_009817
XP_020916822.1	Xe_022295
XP_020916985.1	Xe_012787
XP_020917103.1	Xe_014928
XP_020917618.1	Xe_008826
XP_028512709.1	Xe_003573
XP_028512856.1	Xe_021863
XP_028512861.1	Xe_022040
XP_028512884.1	Xe_021952
XP_028514016.1	Xe_002815
XP_028514695.1	Xe_002322
XP_028515772.1	Xe_014635
XP_028515784.1	Xe_003369
XP_028515798.1	Xe_009819
XP_028515936.1	Xe_024456
XP_028516014.1	Xe_007911
XP_028516075.1	Xe_002935
XP_028516145.1	Xe_015004
XP_028516406.1	Xe_022333
XP_028516916.1	Xe_008177
XP_028517566.1	Xe_008389
XP_028518114.1	Xe_016155
XP_028518131.1	Xe_015137
XP_028518290.1	Xe_016606
XP_028518553.1	Xe_002603
XP_028518557.1	Xe_004855
XP_028518872.1	Xe_002188
XP_028518900.1	Xe_002085
XP_028518938.1	Xe_012891
XP_028519139.1	Xe_015493
XP_020894246.1	Xe_000432
XP_020896344.1	Xe_008035
XP_020902721.1	Xe_008125
XP_020906186.1	Xe_014206
