XP_020899281.1	XP_032220721.1
XP_028516436.1	XP_032238894.1
XP_028516636.1	XP_032231813.2
XP_020891960.1	XP_032221823.2
XP_020901412.1	XP_032242852.2
XP_020902808.1	XP_001631808.1
XP_020904788.1	XP_001626714.2
XP_020911415.1	XP_032235479.2
XP_020917509.1	XP_001632860.1
XP_028512859.1	XP_048579264.1
XP_028515818.1	XP_048590489.1
XP_020891959.1	XP_032221774.2
XP_020892842.1	XP_032233818.2
XP_020893121.1	XP_032222234.1
XP_020893146.1	XP_032241137.1
XP_020894225.1	XP_032222903.1
XP_020895078.1	XP_048579965.1
XP_020895353.1	XP_001626688.3
XP_020895546.1	XP_032222624.1
XP_020896469.1	XP_032242610.1
XP_020897223.1	XP_032236866.1
XP_020897882.1	XP_001640903.2
XP_020897889.1	XP_032236645.1
XP_020898099.1	XP_048579971.1
XP_020898228.1	XP_001641179.2
XP_020898443.1	XP_032236473.2
XP_020898891.1	XP_048580559.1
XP_020899312.1	XP_032221124.1
XP_020899803.1	XP_032230322.2
XP_020900534.1	XP_001628893.2
XP_020901361.1	XP_001636958.3
XP_020901452.1	XP_032242854.2
XP_020901918.1	XP_032231493.2
XP_020902722.1	XP_032238867.2
XP_020902793.1	XP_032226501.2
XP_020903051.1	XP_001640190.3
XP_020903145.1	XP_032228882.1
XP_020904688.1	XP_032220197.1
XP_020905027.1	XP_001626653.3
XP_020905515.1	XP_001636698.2
XP_020905521.1	XP_048589176.1
XP_020905762.1	XP_032220211.2
XP_020907202.1	XP_032239923.1
XP_020907283.1	XP_001637407.2
XP_020908056.1	XP_032226585.2
XP_020908982.1	XP_032221913.2
XP_020909894.1	XP_048580793.1
XP_020909944.1	XP_032234772.1
XP_020911552.1	XP_048590274.1
XP_020911675.1	XP_032219880.1
XP_020912054.1	XP_048577090.1
XP_020912067.1	XP_032220173.1
XP_020913364.1	XP_048585616.1
XP_020913530.1	XP_032234897.1
XP_020913924.1	XP_048584633.1
XP_020914316.1	XP_001639811.2
XP_020917103.1	XP_032223179.1
XP_028513115.1	XP_001633869.2
XP_028513450.1	XP_048590387.1
XP_028516075.1	XP_048583861.1
XP_028517566.1	XP_048578780.1
XP_028517760.1	XP_048579414.1
XP_020892035.1	XP_032233324.1
XP_020892193.1	XP_001634837.2
XP_020893124.1	XP_032222423.1
XP_020893934.1	XP_001631731.3
XP_020894538.1	XP_001639561.1
XP_020900757.1	XP_001630767.1
XP_020903143.1	XP_032218050.1
XP_020908650.1	XP_032235358.1
XP_020909122.1	XP_001623650.2
XP_020909330.1	XP_032228193.2
XP_020911177.1	XP_001633799.2
XP_020911180.1	XP_032238984.1
XP_020914459.1	XP_001637802.1
XP_020914913.1	XP_001633397.2
XP_020915626.1	XP_048576822.1
XP_020916852.1	XP_001637837.1
XP_028515661.1	XP_032234748.2
XP_028519443.1	XP_048578997.1
XP_020893154.1	XP_032225045.1
XP_020895558.1	XP_001641336.2
XP_020898759.1	XP_032222173.2
XP_020905066.1	XP_032236247.1
XP_020915341.1	XP_001625680.1
XP_028513510.1	XP_001636138.1
