Orthogroup	aip_longest_isoforms	xenia_longest_isoforms
OG0000002	XP_028514806.1	Xe_021285-T1, Xe_020131-T1, Xe_017306-T1, Xe_017222-T1, Xe_017223-T1, Xe_017289-T1, Xe_017324-T1, Xe_017260-T1, Xe_017114-T1, Xe_025343-T1, Xe_017106-T1, Xe_017125-T1, Xe_016337-T1, Xe_025358-T1, Xe_017261-T1, Xe_002589-T1, Xe_002590-T1, Xe_017315-T1, Xe_017265-T1, Xe_017252-T1, Xe_017225-T1, Xe_027968-T1, Xe_017290-T1, Xe_007344-T1, Xe_007348-T1, Xe_007364-T1, Xe_007353-T1, Xe_007369-T1, Xe_007377-T1, Xe_007876-T1, Xe_007361-T1, Xe_007695-T1, Xe_017248-T1, Xe_017237-T1, Xe_017278-T1, Xe_017240-T1, Xe_001597-T1, Xe_017328-T1, Xe_017211-T1, Xe_017204-T1, Xe_017218-T1, Xe_018992-T1, Xe_017307-T1, Xe_012513-T1, Xe_007590-T1, Xe_007513-T1, Xe_007220-T1, Xe_023170-T1, Xe_023129-T1, Xe_016986-T1, Xe_017139-T1, Xe_017281-T1, Xe_022018-T1, Xe_003260-T1, Xe_022022-T1, Xe_024367-T1, Xe_017156-T1, Xe_017325-T1, Xe_017292-T1, Xe_017157-T1, Xe_028598-T1, Xe_018527-T1, Xe_018499-T1, Xe_018505-T1, Xe_018503-T1, Xe_017308-T1, Xe_017065-T1, Xe_016930-T1, Xe_017081-T1, Xe_017088-T1, Xe_025378-T1, Xe_016946-T1, Xe_017128-T1, Xe_016957-T1, Xe_000676-T1, Xe_016970-T1, Xe_016994-T1, Xe_025332-T1, Xe_017127-T1, Xe_016924-T1, Xe_017146-T1, Xe_025345-T1, Xe_016990-T1, Xe_016967-T1, Xe_025370-T1, Xe_017317-T1, Xe_017266-T1, Xe_025381-T1, Xe_016948-T1, Xe_017059-T1, Xe_017279-T1, Xe_017294-T1, Xe_017003-T1, Xe_025118-T1, Xe_025124-T1, Xe_019048-T1, Xe_019219-T1, Xe_019168-T1, Xe_018941-T1, Xe_025348-T1, Xe_019055-T1, Xe_017154-T1, Xe_018869-T1, Xe_025350-T1, Xe_017137-T1, Xe_016911-T1, Xe_016987-T1, Xe_016388-T1, Xe_017241-T1, Xe_001609-T1, Xe_017329-T1, Xe_019070-T1, Xe_017166-T1, Xe_017138-T1, Xe_017251-T1, Xe_017074-T1, Xe_017148-T1, Xe_019128-T1, Xe_019191-T1, Xe_017326-T1, Xe_017224-T1
OG0000006	XP_020908294.1	Xe_027699-T1, Xe_027729-T1
OG0000011	XP_020911832.1	Xe_016888-T1, Xe_016871-T1, Xe_016875-T1, Xe_016853-T1, Xe_016881-T1, Xe_016866-T1, Xe_016864-T1, Xe_016857-T1, Xe_016868-T1, Xe_016849-T1, Xe_016851-T1, Xe_016856-T1, Xe_016867-T1, Xe_016865-T1, Xe_022629-T1, Xe_022493-T1, Xe_016825-T1, Xe_016882-T1, Xe_016870-T1, Xe_016860-T1, Xe_016886-T1, Xe_016869-T1, Xe_016859-T1, Xe_016897-T1, Xe_016878-T1, Xe_016890-T1, Xe_016887-T1, Xe_016885-T1, Xe_016891-T1, Xe_016889-T1, Xe_016861-T1, Xe_016892-T1, Xe_016850-T1, Xe_017123-T1, Xe_016999-T1, Xe_019187-T1, Xe_016880-T1, Xe_016863-T1, Xe_016876-T1, Xe_019183-T1, Xe_019013-T1, Xe_018871-T1, Xe_019029-T1, Xe_019072-T1, Xe_018852-T1, Xe_019214-T1, Xe_017054-T1, Xe_016988-T1, Xe_016977-T1, Xe_022790-T1, Xe_016884-T1, Xe_016923-T1, Xe_016902-T1, Xe_025342-T1, Xe_017121-T1, Xe_022421-T1, Xe_023981-T1, Xe_017002-T1, Xe_022492-T1, Xe_016919-T1, Xe_017135-T1, Xe_016928-T1, Xe_016934-T1, Xe_017142-T1, Xe_017159-T1, Xe_017120-T1, Xe_017066-T1, Xe_017056-T1, Xe_017103-T1, Xe_016949-T1, Xe_016962-T1, Xe_017013-T1, Xe_016974-T1, Xe_016877-T1, Xe_025368-T1, Xe_016935-T1, Xe_016893-T1, Xe_025377-T1
OG0000015	XP_028516950.1	Xe_022850-T1, Xe_023018-T1, Xe_022881-T1, Xe_023189-T1, Xe_022996-T1, Xe_022934-T1, Xe_022878-T1, Xe_022848-T1, Xe_023194-T1, Xe_022898-T1, Xe_022999-T1, Xe_022821-T1, Xe_022895-T1, Xe_022941-T1, Xe_022854-T1, Xe_022968-T1, Xe_023036-T1, Xe_023027-T1, Xe_023184-T1, Xe_023039-T1, Xe_022865-T1, Xe_022918-T1, Xe_023009-T1
OG0000015	XP_020898929.1, XP_020907413.1, XP_020915299.1, XP_020906440.2, XP_020907416.2, XP_020915296.1, XP_028516783.1, XP_020901795.2, XP_020915295.1, XP_020897244.1, XP_020909125.2, XP_020909200.1	Xe_009140-T1, Xe_027744-T1, Xe_027753-T1, Xe_027808-T1, Xe_027812-T1, Xe_027805-T1, Xe_027796-T1, Xe_027746-T1, Xe_027739-T1, Xe_027783-T1, Xe_027790-T1, Xe_027792-T1, Xe_027785-T1
OG0000015	XP_020901662.1, XP_020906128.1, XP_028514603.1, XP_020899430.1, XP_028514372.1	Xe_027789-T1
OG0000018	XP_020895312.1	Xe_024161-T1
OG0000018	XP_028515739.1, XP_020892825.1, XP_020903733.1	Xe_024121-T1, Xe_024337-T1, Xe_024359-T1, Xe_024142-T1, Xe_024105-T1, Xe_024390-T1, Xe_024376-T1, Xe_024122-T1, Xe_024150-T1, Xe_024364-T1, Xe_024139-T1, Xe_024399-T1, Xe_024336-T1, Xe_024133-T1, Xe_024298-T1, Xe_024194-T1, Xe_024116-T1, Xe_024160-T1, Xe_024106-T1, Xe_024163-T1, Xe_024361-T1, Xe_024171-T1, Xe_024385-T1
OG0000031	XP_020914234.1	Xe_028329-T1, Xe_011577-T1, Xe_018919-T1, Xe_019182-T1, Xe_019490-T1, Xe_019443-T1, Xe_013369-T1, Xe_019223-T1, Xe_019132-T1, Xe_019207-T1, Xe_018853-T1, Xe_019088-T1, Xe_019028-T1, Xe_025110-T1, Xe_018850-T1, Xe_019220-T1, Xe_019143-T1, Xe_016668-T1, Xe_019099-T1, Xe_019103-T1, Xe_019229-T1, Xe_019027-T1, Xe_019294-T1, Xe_014002-T1, Xe_028843-T1, Xe_000334-T1, Xe_013978-T1, Xe_019521-T1, Xe_007843-T1, Xe_019563-T1, Xe_012041-T1, Xe_014237-T1, Xe_014267-T1, Xe_012075-T1, Xe_012375-T1, Xe_018553-T1, Xe_010179-T1, Xe_002873-T1, Xe_012507-T1, Xe_014096-T1, Xe_017979-T1, Xe_017980-T1, Xe_025240-T1, Xe_012690-T1, Xe_011168-T1, Xe_011114-T1, Xe_011184-T1, Xe_000336-T1, Xe_003937-T1, Xe_029001-T1, Xe_006215-T1, Xe_001912-T1, Xe_001917-T1, Xe_013305-T1, Xe_001925-T1
OG0000035	XP_020914388.1, XP_020904729.1	Xe_003214-T1
OG0000035	XP_028517288.1	Xe_022506-T1, Xe_023372-T1, Xe_024235-T1, Xe_006417-T1, Xe_006948-T1, Xe_003622-T1, Xe_023364-T1, Xe_005971-T1, Xe_017046-T1, Xe_017731-T1, Xe_006658-T1, Xe_025535-T1, Xe_023366-T1, Xe_019373-T1, Xe_004015-T1, Xe_014881-T1, Xe_006448-T1, Xe_020067-T1, Xe_028542-T1, Xe_004066-T1, Xe_025200-T1, Xe_006198-T1, Xe_004100-T1, Xe_028318-T1, Xe_028521-T1, Xe_025253-T1, Xe_024833-T1, Xe_028546-T1, Xe_027470-T1, Xe_021021-T1, Xe_028055-T1, Xe_010278-T1, Xe_024238-T1, Xe_019152-T1, Xe_024371-T1, Xe_019488-T1, Xe_008930-T1, Xe_026218-T1, Xe_020066-T1, Xe_018394-T1, Xe_026368-T1, Xe_021228-T1, Xe_021236-T1, Xe_021963-T1, Xe_023368-T1, Xe_018863-T1, Xe_006937-T1, Xe_022461-T1
OG0000038	XP_020897020.1, XP_020904326.1, XP_028516362.1, XP_020907536.2, XP_020907549.1, XP_020917754.1, XP_020917750.1, XP_020917755.1, XP_028512441.1, XP_028519400.1, XP_020917713.1, XP_028512432.1, XP_020916387.2, XP_028512439.1, XP_020905049.1, XP_028512703.1, XP_020906682.1, XP_020904408.1, XP_028515978.1, XP_020907914.1, XP_028519455.1, XP_020916577.1, XP_020916576.1, XP_020916579.1, XP_028514686.1, XP_028514680.1, XP_028514681.1, XP_020899798.1, XP_020899800.1, XP_020899792.1, XP_020899796.1, XP_020899794.2, XP_020899793.2, XP_020906714.1, XP_020906712.1, XP_020916308.1, XP_020906378.2, XP_020906379.2, XP_020906359.1, XP_028516477.1, XP_020906358.2, XP_020892699.1, XP_020892722.1, XP_020910407.1, XP_020910416.1, XP_020917603.1, XP_020906751.1	Xe_021297-T1
