Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	157	157
OG0000001	136	136
OG0000002	120	120
OG0000003	111	111
OG0000004	107	107
OG0000005	106	106
OG0000006	98	96
OG0000007	100	100
OG0000008	93	93
OG0000009	87	87
OG0000010	83	83
OG0000011	77	77
OG0000012	76	76
OG0000013	75	75
OG0000014	76	76
OG0000015	61	60
OG0000016	70	70
OG0000017	69	69
OG0000018	60	59
OG0000019	67	67
OG0000020	65	65
OG0000021	66	66
OG0000022	66	66
OG0000023	64	64
OG0000024	64	64
OG0000025	63	63
OG0000026	62	62
OG0000027	62	62
OG0000028	39	34
OG0000029	57	57
OG0000030	58	58
OG0000031	54	54
OG0000032	57	57
OG0000033	56	56
OG0000034	54	54
OG0000035	50	50
OG0000036	52	52
OG0000037	51	51
OG0000038	47	47
OG0000039	43	43
OG0000040	46	46
OG0000041	49	49
OG0000042	49	49
OG0000043	47	47
OG0000044	42	39
OG0000045	47	47
OG0000046	45	45
OG0000047	44	44
OG0000048	42	42
OG0000049	45	45
OG0000050	45	45
OG0000051	44	44
OG0000052	43	43
OG0000053	40	40
OG0000054	40	40
OG0000055	43	43
OG0000056	43	43
OG0000057	40	40
OG0000058	40	40
OG0000059	40	40
OG0000060	41	41
OG0000061	40	40
OG0000062	41	41
OG0000063	41	41
OG0000064	35	35
OG0000065	40	40
OG0000066	40	40
OG0000067	39	39
OG0000068	39	39
OG0000069	35	34
OG0000070	39	39
OG0000071	39	39
OG0000072	34	34
OG0000073	34	34
OG0000074	36	36
OG0000075	38	38
OG0000076	38	38
OG0000077	38	38
OG0000078	33	33
OG0000079	34	32
OG0000080	30	28
OG0000081	34	34
OG0000082	31	29
OG0000083	36	36
OG0000084	37	37
OG0000085	15	14
OG0000086	35	35
OG0000087	36	36
OG0000088	29	28
OG0000089	21	13
OG0000090	29	28
OG0000091	35	35
OG0000092	35	35
OG0000093	35	35
OG0000094	25	19
OG0000095	21	15
OG0000096	32	32
OG0000097	27	22
OG0000098	34	34
OG0000099	34	34
OG0000100	34	34
OG0000101	34	34
OG0000102	29	29
OG0000103	31	31
OG0000104	30	30
OG0000105	32	32
OG0000106	29	29
OG0000107	32	32
OG0000108	32	32
OG0000109	32	32
OG0000110	32	32
OG0000111	32	32
OG0000112	31	31
OG0000113	26	26
OG0000114	25	21
OG0000115	27	20
OG0000116	29	29
OG0000117	30	30
OG0000118	31	31
OG0000119	31	31
OG0000120	31	31
OG0000121	31	31
OG0000122	31	31
OG0000123	31	31
OG0000124	30	30
OG0000125	29	29
OG0000126	30	30
OG0000127	27	27
OG0000128	30	30
OG0000129	30	30
OG0000130	30	30
OG0000131	30	30
OG0000132	30	30
OG0000133	30	30
OG0000134	26	26
OG0000135	26	26
OG0000136	28	28
OG0000137	27	27
OG0000138	26	26
OG0000139	26	26
OG0000140	22	19
OG0000141	27	27
OG0000142	28	28
OG0000143	29	29
OG0000144	29	29
OG0000145	29	29
OG0000146	29	29
OG0000147	29	29
OG0000148	29	29
OG0000149	29	29
OG0000150	25	25
OG0000151	25	24
OG0000152	24	23
OG0000153	28	28
OG0000154	27	27
