Orthogroup	nvec_longest_isoform	xenia_longest_isoforms
OG0000006	XP_048584888.1	Xe_002016-T1, Xe_028392-T1, Xe_028407-T1, Xe_023708-T1, Xe_016644-T1, Xe_025917-T1, Xe_028106-T1, Xe_023685-T1, Xe_023397-T1, Xe_023690-T1, Xe_023408-T1, Xe_028274-T1, Xe_028403-T1, Xe_028109-T1, Xe_028251-T1, Xe_023695-T1, Xe_023406-T1, Xe_023395-T1, Xe_023398-T1, Xe_023686-T1, Xe_009692-T1, Xe_009691-T1, Xe_018771-T1, Xe_018773-T1, Xe_010157-T1
OG0000006	XP_048584948.1	Xe_027699-T1, Xe_027729-T1
OG0000006	XP_048587198.1	Xe_023021-T1
OG0000015	XP_032221175.2	Xe_022850-T1, Xe_023018-T1, Xe_022881-T1, Xe_023189-T1, Xe_022996-T1, Xe_022934-T1, Xe_022878-T1, Xe_022848-T1, Xe_023194-T1, Xe_022898-T1, Xe_022999-T1, Xe_022821-T1, Xe_022895-T1, Xe_022941-T1, Xe_022854-T1, Xe_022968-T1
OG0000015	XP_048582340.1	Xe_009140-T1, Xe_027744-T1, Xe_027753-T1, Xe_027808-T1, Xe_027812-T1, Xe_027805-T1, Xe_027796-T1, Xe_027746-T1, Xe_027739-T1, Xe_027783-T1, Xe_027790-T1, Xe_027792-T1, Xe_027785-T1
OG0000015	XP_001632454.3, XP_032236054.2	Xe_027789-T1
OG0000018	XP_001629721.2	Xe_024161-T1
OG0000018	XP_032220304.2	Xe_024121-T1, Xe_024337-T1, Xe_024359-T1, Xe_024142-T1, Xe_024105-T1, Xe_024390-T1, Xe_024376-T1, Xe_024122-T1, Xe_024150-T1, Xe_024364-T1, Xe_024139-T1, Xe_024399-T1, Xe_024336-T1, Xe_024133-T1, Xe_024298-T1, Xe_024194-T1, Xe_024116-T1, Xe_024160-T1, Xe_024106-T1, Xe_024163-T1, Xe_024361-T1, Xe_024171-T1, Xe_024385-T1
OG0000031	XP_048575684.1	Xe_028329-T1, Xe_011577-T1, Xe_018919-T1, Xe_019182-T1, Xe_019490-T1, Xe_019443-T1, Xe_013369-T1, Xe_019223-T1, Xe_019132-T1, Xe_019207-T1, Xe_018853-T1, Xe_019088-T1, Xe_019028-T1, Xe_025110-T1, Xe_018850-T1, Xe_019220-T1, Xe_019143-T1, Xe_016668-T1, Xe_019099-T1, Xe_019103-T1, Xe_019229-T1, Xe_019027-T1, Xe_019294-T1, Xe_014002-T1, Xe_028843-T1, Xe_000334-T1, Xe_013978-T1, Xe_019521-T1, Xe_007843-T1, Xe_019563-T1, Xe_012041-T1, Xe_014237-T1, Xe_014267-T1, Xe_012075-T1, Xe_012375-T1, Xe_018553-T1, Xe_010179-T1, Xe_002873-T1, Xe_012507-T1, Xe_014096-T1, Xe_017979-T1, Xe_017980-T1, Xe_025240-T1, Xe_012690-T1, Xe_011168-T1, Xe_011114-T1, Xe_011184-T1, Xe_000336-T1, Xe_003937-T1, Xe_029001-T1, Xe_006215-T1, Xe_001912-T1, Xe_001917-T1, Xe_013305-T1, Xe_001925-T1
OG0000035	XP_048585684.1, XP_048585982.1	Xe_003214-T1
