gene.ID	PFAM	gene_name	total.UMIs	X..UMIs	median.fc	tf	cell_type
Spis_XP_022786709_1	2OG-FeII_Oxy_3/	prolyl_4_hydroxylase_transmembrane	7793	91.43	19.29	no	algae_hosting
Spis_XP_022786917_1	Transferrin/Transferrin/Transferrin/	lactotransferrin	36705	62.77	17.54	no	algae_hosting
Spis_XP_022782026_1		uncharacterized protein LOC111323024 isoform X1	2451	76.4	6.5	no	algae_hosting
Spis_XP_022779557_1		neurogenic locus notch homolog protein 1-like isoform X1	1909	87.53	5.86	no	algae_hosting
Spis_XP_022787225_1	CUB/CUB/FXa_inhibition/FXa_inhibition/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/cEGF/EGF_CA/FXa_inhibition/cEGF/cEGF/FXa_inhibition/FXa_inhibition/	tolloid_like_2	4900	23.24	5.74	no	algae_hosting
Spis_XP_022796708_1	DUF4773/DUF4773/	uncharacterized protein LOC111335117	3068	85.34	5.65	no	algae_hosting
Spis_XP_022785263_1	Vitellogenin_N/DUF1943/DUF1081/VWD/	novel_lipoprotein_amino_terminal_region_containing_protein	15199	15.18	3.69	no	algae_hosting
Spis_XP_022806141_1		uncharacterized protein LOC111343242	5686	25.53	3.66	no	algae_hosting
Spis_XP_022802222_1		uncharacterized protein LOC111339768	4229	29.52	3.31	no	algae_hosting
Spis_XP_022799541_1	Vitellogenin_N/DUF1943/DUF1081/VWD/C8/	novel_lipoprotein_amino_terminal_region_containing_protein	3116	25.17	3.25	no	algae_hosting
Spis_XP_022789093_1		uncharacterized protein LOC111328830 isoform X2	1666	72.56	3.2	no	algae_hosting
Spis_XP_022790445_1	Tetraspanin/	CD151_molecule_Raph_blood_group_	1637	32.02	3.13	no	algae_hosting
Spis_XP_022792257_1		galaxin-like isoform X1	1401	24.29	3.09	no	algae_hosting
Spis_XP_022793420_1		trichohyalin-like isoform X1	10158	9.19	3.09	no	algae_hosting
Spis_XP_022806423_1		uncharacterized protein LOC111343498 isoform X4	1168	77.35	3.07	no	algae_hosting
Spis_XP_022795243_1	Acetyltransf_1/	Acetyltransf_1.HG1.0:NAT8/NAT8B/NAT8L	1450	18.49	2.84	no	algae_hosting
Spis_XP_022803156_1		uncharacterized skeletal organic matrix protein 7-like	1292	24.56	2.84	no	algae_hosting
Spis_XP_022785526_1	DUF4773/	uncharacterized protein LOC111325880	1323	29.17	2.74	no	algae_hosting
Spis_XP_022795558_1	Ammonium_transp/	Rh_family_B_glycoprotein_gene_pseudogene_	1149	37.65	2.7	no	algae_hosting
Spis_XP_022787226_1	CUB/Ldl_recept_a/Ldl_recept_a/FXa_inhibition/EGF_CA/FXa_inhibition/EGF_CA/EGF_CA/cEGF/EGF_CA/Trypsin/	transmembrane_serine_protease_15	1341	18.49	2.48	no	algae_hosting
Spis_XP_022803736_1		uncharacterized protein LOC111341055	1493	68.83	2.43	no	algae_hosting
Spis_XP_022793409_1	Tubulin/Tubulin_C/	tubulin_beta_2B_class_IIb	471	22.05	2.38	no	algae_hosting
Spis_XP_022790246_1	Ferritin/	ferritin_heavy_chain_1	4556	17.61	2.37	no	algae_hosting
Spis_XP_022777441_1		uncharacterized protein LOC111318839	2023	10.82	2.3	no	algae_hosting
Spis_XP_022779497_1	Tubulin/Tubulin_C/	tubulin_beta_4B_class_IVb	434	25.85	2.22	no	algae_hosting
Spis19928_1			503	49.65	2.21	no	algae_hosting
Spis_XP_022782981_1	Abhydro_lipase/	lipase_A_lysosomal_acid_type	619	19.25	2.12	no	algae_hosting
Spis_XP_022779510_1	AdoHcyase/AdoHcyase_NAD/	adenosylhomocysteinase	1084	20.83	2.1	no	algae_hosting
Spis_XP_022791744_1	Cellulase/Glyco_hydro_5_C/	endoglycoceramidase-like	394	67.58	2.08	no	algae_hosting
Spis_XP_022796380_1		uncharacterized protein LOC111334821	459	54.13	2.08	no	algae_hosting
Spis_XP_022805523_1		uncharacterized protein LOC111342687	593	43.35	2.05	no	algae_hosting
Spis_XP_022782649_1	Lectin_C/Lectin_C/Lectin_C/F5_F8_type_C/Lectin_C/Laminin_G_3/Lectin_C/Gal_Lectin/Lectin_C/Lectin_C/Lectin_C/Lectin_C/Lectin_C/Lectin_C/F5_F8_type_C/F5_F8_type_C/F5_F8_type_C/SEA/	mannose_receptor_C_type_1	723	26.49	2	no	algae_hosting
Spis_XP_022803303_1	CUB/CUB/	cubilin	2579	18.43	2	no	algae_hosting
Spis_XP_022797422_1		formin-like protein 5	248	52.1	23.16	no	cnidocyte
Spis_XP_022789499_1		uncharacterized protein LOC111329156 isoform X1	257	62.84	14.51	no	cnidocyte
Spis_XP_022795719_1		protein starmaker-like	197	41.3	11.34	no	cnidocyte
Spis_XP_022787371_1	Collagen/	Collagen.HG10.0:NA	157	50.81	10.15	no	cnidocyte
Spis18343_1	Collagen/Collagen/Collagen/Collagen/		138	58.23	9.99	no	cnidocyte
Spis_XP_022789491_1		LOW QUALITY PROTEIN: uncharacterized protein LOC111329145	132	44.3	8.52	no	cnidocyte
Spis_XP_022799416_1	Collagen/	Collagen.HG10.4:NA	133	26.65	8.21	no	cnidocyte
Spis_XP_022797425_1		leucine-rich repeat extensin-like protein 3	66	54.55	7.74	no	cnidocyte
Spis_XP_022794104_1		phosphopantothenoylcysteine decarboxylase subunit VHS3-like isoform X2	132	56.65	7.52	no	cnidocyte
Spis_XP_022807225_1	Collagen/Collagen/	Collagen.HG20.0:NA	88	29.14	6.18	no	cnidocyte
Spis_XP_022789489_1		uncharacterized protein LOC111329142	101	51.01	6.14	no	cnidocyte
Spis_XP_022797403_1		leucine-rich repeat extensin-like protein 3	61	54.95	5.52	no	cnidocyte
Spis_XP_022789498_1		spidroin-1-like isoform X2	58	42.03	5.51	no	cnidocyte
Spis_XP_022808404_1		cysteine-rich and transmembrane domain-containing protein 1-like	49	44.55	5.33	no	cnidocyte
Spis_XP_022786325_1	FKBP_C/	FKBP_prolyl_isomerase_14	59	40.69	4.96	no	cnidocyte
Spis_XP_022779066_1	MACPF/	DELTA-alicitoxin-Pse2b-like	225	47.17	4.48	no	cnidocyte
Spis_XP_022802613_1		uncharacterized protein LOC111340095	42	12.21	4.34	no	cnidocyte
Spis_XP_022806650_1	Collagen/Collagen/Gal_Lectin/	Collagen.HG11.2:NA	30	40	4.11	no	cnidocyte
Spis_XP_022779932_1		uncharacterized protein LOC111321350	41	33.61	4	no	cnidocyte
Spis_XP_022799605_1	ShK/Lectin_C/Lectin_C/Laminin_G_3/GLEYA/PA14/Laminin_G_3/EGF/WSC/PLAT/	Lectin_C.HG5.11:like:DGCR2:likeclu:1	31	9.6	3.83	no	cnidocyte
Spis_XP_022796493_1		skin secretory protein xP2-like	34	27.87	3.81	no	cnidocyte
Spis_XP_022789521_1		uncharacterized protein LOC111329177	29	51.79	3.55	no	cnidocyte
Spis18344_1	Collagen/Collagen/		27	42.19	3.27	no	cnidocyte
Spis_XP_022793141_1	HRM/GAIN/GPS/	adhesion_G_protein_coupled_receptor_B1	30	13.89	3.26	no	cnidocyte
Spis_XP_022803624_1		wiskott-Aldrich syndrome protein family member 2-like isoform X2	26	56.52	3.23	no	cnidocyte
Spis_XP_022806671_1	Collagen/Collagen/Gal_Lectin/	Collagen.HG11.1:NA	21	41.18	3.22	no	cnidocyte
Spis_XP_022804287_1	Collagen/	Collagen.HG10.2:NA	36	41.38	3.16	no	cnidocyte
Spis_XP_022788575_1		aspartate, glycine, lysine and serine-rich protein-like	31	39.24	2.96	no	cnidocyte
Spis_XP_022798988_1		protein TsetseEP-like	24	15.38	2.86	no	cnidocyte
Spis_XP_022803637_1		proline-rich protein 36-like	22	50	2.86	no	cnidocyte
Spis_XP_022805384_1	EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/EGF/	von_Willebrand_factor_A_domain_containing_2	28	4.35	2.78	no	cnidocyte
Spis_XP_022791088_1	TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/TSP_1/Fibrinogen_C/TSP_1/TSP_1/hEGF/hEGF/Kunitz_BPTI/Laminin_G_3/PLAT/Kunitz_BPTI/	Laminin.HG4.10:NA	28	4.51	2.67	no	cnidocyte
Spis_XP_022797817_1		flocculation protein FLO11-like	28	36.36	2.61	no	cnidocyte
