Orthogroup	Species	aip_longest_isoforms	Orthologs
OG0000002	xenia_longest_isoforms	XP_028514806.1	Xe_021285-T1, Xe_020131-T1, Xe_017306-T1, Xe_017222-T1, Xe_017223-T1, Xe_017289-T1, Xe_017324-T1, Xe_017260-T1, Xe_017114-T1, Xe_025343-T1, Xe_017106-T1, Xe_017125-T1, Xe_016337-T1, Xe_025358-T1, Xe_017261-T1, Xe_002589-T1, Xe_002590-T1, Xe_017315-T1, Xe_017265-T1, Xe_017252-T1, Xe_017225-T1, Xe_027968-T1, Xe_017290-T1, Xe_007344-T1, Xe_007348-T1, Xe_007364-T1, Xe_007353-T1, Xe_007369-T1, Xe_007377-T1, Xe_007876-T1, Xe_007361-T1, Xe_007695-T1, Xe_017248-T1, Xe_017237-T1, Xe_017278-T1, Xe_017240-T1, Xe_001597-T1, Xe_017328-T1, Xe_017211-T1, Xe_017204-T1, Xe_017218-T1, Xe_018992-T1, Xe_017307-T1, Xe_012513-T1, Xe_007590-T1, Xe_007513-T1, Xe_007220-T1, Xe_023170-T1, Xe_023129-T1, Xe_016986-T1, Xe_017139-T1, Xe_017281-T1, Xe_022018-T1, Xe_003260-T1, Xe_022022-T1, Xe_024367-T1, Xe_017156-T1, Xe_017325-T1, Xe_017292-T1, Xe_017157-T1, Xe_028598-T1, Xe_018527-T1, Xe_018499-T1, Xe_018505-T1, Xe_018503-T1, Xe_017308-T1, Xe_017065-T1, Xe_016930-T1, Xe_017081-T1, Xe_017088-T1, Xe_025378-T1, Xe_016946-T1, Xe_017128-T1, Xe_016957-T1, Xe_000676-T1, Xe_016970-T1, Xe_016994-T1, Xe_025332-T1, Xe_017127-T1, Xe_016924-T1, Xe_017146-T1, Xe_025345-T1, Xe_016990-T1, Xe_016967-T1, Xe_025370-T1, Xe_017317-T1, Xe_017266-T1, Xe_025381-T1, Xe_016948-T1, Xe_017059-T1, Xe_017279-T1, Xe_017294-T1, Xe_017003-T1, Xe_025118-T1, Xe_025124-T1, Xe_019048-T1, Xe_019219-T1, Xe_019168-T1, Xe_018941-T1, Xe_025348-T1, Xe_019055-T1, Xe_017154-T1, Xe_018869-T1, Xe_025350-T1, Xe_017137-T1, Xe_016911-T1, Xe_016987-T1, Xe_016388-T1, Xe_017241-T1, Xe_001609-T1, Xe_017329-T1, Xe_019070-T1, Xe_017166-T1, Xe_017138-T1, Xe_017251-T1, Xe_017074-T1, Xe_017148-T1, Xe_019128-T1, Xe_019191-T1, Xe_017326-T1, Xe_017224-T1
OG0000002	spis_longest_isoform_marker	XP_028514806.1	XP_022801671.1
OG0000006	xenia_longest_isoforms	XP_020908294.1	Xe_027699-T1, Xe_027729-T1
OG0000006	nvec_longest_isoform	XP_020908294.1	XP_048584948.1
OG0000007	spis_longest_isoform_marker	XP_020908124.1	XP_022805177.1, XP_022796395.1, XP_022805178.1
OG0000007	spis_longest_isoform_marker	XP_020908123.1	XP_022807280.1, XP_022777499.1, XP_022807273.1, XP_022808750.1, XP_022807699.1, XP_022808091.1, XP_022777757.1, XP_022807336.1, XP_022803731.1, XP_022799298.1, XP_022807861.1, XP_022795743.1, XP_022807279.1, XP_022808092.1, XP_022795754.1, XP_022810527.1, XP_022810417.1, XP_022804178.1, XP_022807706.1, XP_022800751.1, XP_022800745.1, XP_022808095.1, XP_022808202.1, XP_022799295.1, XP_022799299.1, XP_022802382.1, XP_022777498.1, XP_022810255.1, XP_022809434.1, XP_022803659.1, XP_022777497.1, XP_022781158.1, XP_022810339.1, XP_022781087.1, XP_022802389.1, XP_022809433.1, XP_022777541.1, XP_022800755.1, XP_022809167.1, XP_022810419.1, XP_022810275.1, XP_022802392.1, XP_022790112.1, XP_022800737.1, XP_022795757.1, XP_022801250.1, XP_022795742.1, XP_022796383.1, XP_022795733.1, XP_022796418.1, XP_022809168.1, XP_022795716.1, XP_022793323.1, XP_022809729.1, XP_022809523.1, XP_022802381.1, XP_022804177.1, XP_022802395.1, XP_022792749.1, XP_022781133.1, XP_022810529.1, XP_022793287.1, XP_022807774.1, XP_022807174.1, XP_022785107.1, XP_022803122.1, XP_022808215.1, XP_022793270.1, XP_022793667.1, XP_022777994.1, XP_022793273.1, XP_022805605.1, XP_022803123.1, XP_022793670.1, XP_022802386.1, XP_022810554.1, XP_022800744.1, XP_022809630.1, XP_022793079.1, XP_022808789.1, XP_022796405.1, XP_022804176.1, XP_022804170.1, XP_022802383.1, XP_022810254.1, XP_022807771.1, XP_022807772.1, XP_022809179.1, XP_022796406.1, XP_022793282.1, XP_022792750.1, XP_022803128.1, XP_022807950.1, XP_022802710.1, XP_022802714.1, XP_022807724.1, XP_022800040.1, XP_022800044.1
OG0000007	nvec_longest_isoform	XP_020908123.1	XP_001632732.3
OG0000011	xenia_longest_isoforms	XP_020911832.1	Xe_016888-T1, Xe_016871-T1, Xe_016875-T1, Xe_016853-T1, Xe_016881-T1, Xe_016866-T1, Xe_016864-T1, Xe_016857-T1, Xe_016868-T1, Xe_016849-T1, Xe_016851-T1, Xe_016856-T1, Xe_016867-T1, Xe_016865-T1, Xe_022629-T1, Xe_022493-T1, Xe_016825-T1, Xe_016882-T1, Xe_016870-T1, Xe_016860-T1, Xe_016886-T1, Xe_016869-T1, Xe_016859-T1, Xe_016897-T1, Xe_016878-T1, Xe_016890-T1, Xe_016887-T1, Xe_016885-T1, Xe_016891-T1, Xe_016889-T1, Xe_016861-T1, Xe_016892-T1, Xe_016850-T1, Xe_017123-T1, Xe_016999-T1, Xe_019187-T1, Xe_016880-T1, Xe_016863-T1, Xe_016876-T1, Xe_019183-T1, Xe_019013-T1, Xe_018871-T1, Xe_019029-T1, Xe_019072-T1, Xe_018852-T1, Xe_019214-T1, Xe_017054-T1, Xe_016988-T1, Xe_016977-T1, Xe_022790-T1, Xe_016884-T1, Xe_016923-T1, Xe_016902-T1, Xe_025342-T1, Xe_017121-T1, Xe_022421-T1, Xe_023981-T1, Xe_017002-T1, Xe_022492-T1, Xe_016919-T1, Xe_017135-T1, Xe_016928-T1, Xe_016934-T1, Xe_017142-T1, Xe_017159-T1, Xe_017120-T1, Xe_017066-T1, Xe_017056-T1, Xe_017103-T1, Xe_016949-T1, Xe_016962-T1, Xe_017013-T1, Xe_016974-T1, Xe_016877-T1, Xe_025368-T1, Xe_016935-T1, Xe_016893-T1, Xe_025377-T1
OG0000011	spis_longest_isoform_marker	XP_020911832.1	XP_022801878.1
OG0000012	spis_longest_isoform_marker	XP_028517823.1	XP_022778388.1, XP_022803001.1, XP_022777925.1, XP_022777585.1, XP_022808006.1, XP_022809811.1, XP_022785614.1, XP_022788736.1, XP_022801244.1, XP_022796732.1, XP_022796737.1, XP_022809184.1, XP_022802999.1, XP_022778546.1, XP_022807515.1, XP_022810436.1, XP_022777824.1, XP_022809611.1, XP_022778248.1, XP_022805295.1, XP_022808483.1, XP_022808784.1, XP_022778437.1
