Orthogroup	aip	nvec	spis	xenia	aip_LOC	single_copy	xenia_marker_status	xenia_marker_genes	spis_marker_status	spis_marker_genes	nvec_marker_status	nvec_marker_genes	aip_marker_status	aip_marker_genes
OG0000000	NA	NA	XP_022785590.1	Xe_000274, Xe_006312, Xe_006319, Xe_006636, Xe_009272, Xe_009604, Xe_010009, Xe_010203, Xe_010206, Xe_010209, Xe_010211, Xe_010214, Xe_010216, Xe_010219, Xe_010226, Xe_010233, Xe_010858, Xe_010861, Xe_010863, Xe_010865, Xe_010866, Xe_013641, Xe_013642, Xe_013645, Xe_013646, Xe_013647, Xe_013648, Xe_017286, Xe_017314, Xe_018333, Xe_018817, Xe_018818, Xe_018820, Xe_018842, Xe_018848, Xe_018854, Xe_018859, Xe_018860, Xe_018862, Xe_018866, Xe_018873, Xe_018877, Xe_018885, Xe_018888, Xe_018891, Xe_018896, Xe_018897, Xe_018898, Xe_018899, Xe_018909, Xe_018917, Xe_018920, Xe_018921, Xe_018926, Xe_018933, Xe_018937, Xe_018939, Xe_018942, Xe_018944, Xe_018945, Xe_018950, Xe_018951, Xe_018954, Xe_018959, Xe_018960, Xe_018961, Xe_018962, Xe_018965, Xe_018968, Xe_018970, Xe_018976, Xe_018980, Xe_018982, Xe_018984, Xe_018991, Xe_018996, Xe_018998, Xe_019004, Xe_019005, Xe_019019, Xe_019021, Xe_019022, Xe_019024, Xe_019025, Xe_019033, Xe_019037, Xe_019041, Xe_019051, Xe_019052, Xe_019056, Xe_019057, Xe_019061, Xe_019064, Xe_019065, Xe_019066, Xe_019067, Xe_019071, Xe_019074, Xe_019075, Xe_019080, Xe_019081, Xe_019090, Xe_019093, Xe_019095, Xe_019104, Xe_019110, Xe_019112, Xe_019118, Xe_019121, Xe_019124, Xe_019140, Xe_019142, Xe_019144, Xe_019149, Xe_019154, Xe_019157, Xe_019160, Xe_019161, Xe_019170, Xe_019175, Xe_019178, Xe_019186, Xe_019188, Xe_019197, Xe_019199, Xe_019201, Xe_019204, Xe_019208, Xe_019217, Xe_019222, Xe_019224, Xe_019227, Xe_019293, Xe_019305, Xe_019308, Xe_019314, Xe_025101, Xe_025102, Xe_025106, Xe_025107, Xe_025112, Xe_025122, Xe_025125, Xe_025126, Xe_025127, Xe_025128, Xe_025134, Xe_025137, Xe_025138, Xe_025141, Xe_025142, Xe_025144, Xe_025146, Xe_025148, Xe_025151, Xe_025154, Xe_027374, Xe_027977	NA	FALSE	TRUE	Xe_019140, Xe_018888, Xe_018962, Xe_018877, Xe_019093, Xe_018933	FALSE	NA	FALSE	NA	FALSE	NA
OG0000001	NA	NA	NA	Xe_006369, Xe_006435, Xe_006436, Xe_010358, Xe_010361, Xe_010369, Xe_010373, Xe_010376, Xe_010379, Xe_010380, Xe_016279, Xe_016280, Xe_016332, Xe_016339, Xe_016341, Xe_016623, Xe_016626, Xe_016629, Xe_016633, Xe_016640, Xe_016642, Xe_016647, Xe_016652, Xe_016661, Xe_016663, Xe_016665, Xe_016669, Xe_016675, Xe_016679, Xe_016685, Xe_016688, Xe_016696, Xe_016698, Xe_016701, Xe_016705, Xe_016712, Xe_016719, Xe_016722, Xe_016724, Xe_016728, Xe_016733, Xe_016737, Xe_016739, Xe_016741, Xe_016746, Xe_016751, Xe_016754, Xe_016758, Xe_016764, Xe_016777, Xe_016779, Xe_016785, Xe_016788, Xe_016793, Xe_016796, Xe_016798, Xe_016800, Xe_016804, Xe_016808, Xe_016817, Xe_016821, Xe_016833, Xe_016835, Xe_016838, Xe_016840, Xe_016909, Xe_016913, Xe_016917, Xe_016925, Xe_016931, Xe_016940, Xe_016954, Xe_016963, Xe_016979, Xe_017047, Xe_017048, Xe_017062, Xe_017068, Xe_017076, Xe_017078, Xe_017082, Xe_017086, Xe_017089, Xe_017117, Xe_017119, Xe_017717, Xe_017718, Xe_017720, Xe_017722, Xe_025335, Xe_025346, Xe_025347, Xe_025356, Xe_025357, Xe_025380, Xe_027845, Xe_027853, Xe_027855, Xe_028124, Xe_028125, Xe_028130, Xe_028132, Xe_028133, Xe_028135, Xe_028143, Xe_028150, Xe_028152, Xe_028156, Xe_028160, Xe_028164, Xe_028172, Xe_028173, Xe_028177, Xe_028180, Xe_028184, Xe_028187, Xe_028188, Xe_028197, Xe_028202, Xe_028203, Xe_028210, Xe_028212, Xe_028214, Xe_028218, Xe_028221, Xe_028225, Xe_028340, Xe_028345, Xe_028350, Xe_028351, Xe_028354, Xe_028357, Xe_028361, Xe_028372, Xe_028373, Xe_028428, Xe_028431	NA	FALSE	TRUE	Xe_028197, Xe_017717, Xe_010379, Xe_016817	FALSE	NA	FALSE	NA	FALSE	NA
OG0000002	XP_028514806.1	NA	XP_022801671.1	Xe_000676, Xe_001597, Xe_001609, Xe_002589, Xe_002590, Xe_003260, Xe_007220, Xe_007344, Xe_007348, Xe_007353, Xe_007361, Xe_007364, Xe_007369, Xe_007377, Xe_007513, Xe_007590, Xe_007695, Xe_007876, Xe_012513, Xe_016337, Xe_016388, Xe_016911, Xe_016924, Xe_016930, Xe_016946, Xe_016948, Xe_016957, Xe_016967, Xe_016970, Xe_016986, Xe_016987, Xe_016990, Xe_016994, Xe_017003, Xe_017059, Xe_017065, Xe_017074, Xe_017081, Xe_017088, Xe_017106, Xe_017114, Xe_017125, Xe_017127, Xe_017128, Xe_017137, Xe_017138, Xe_017139, Xe_017146, Xe_017148, Xe_017154, Xe_017156, Xe_017157, Xe_017166, Xe_017204, Xe_017211, Xe_017218, Xe_017222, Xe_017223, Xe_017224, Xe_017225, Xe_017237, Xe_017240, Xe_017241, Xe_017248, Xe_017251, Xe_017252, Xe_017260, Xe_017261, Xe_017265, Xe_017266, Xe_017278, Xe_017279, Xe_017281, Xe_017289, Xe_017290, Xe_017292, Xe_017294, Xe_017306, Xe_017307, Xe_017308, Xe_017315, Xe_017317, Xe_017324, Xe_017325, Xe_017326, Xe_017328, Xe_017329, Xe_018499, Xe_018503, Xe_018505, Xe_018527, Xe_018869, Xe_018941, Xe_018992, Xe_019048, Xe_019055, Xe_019070, Xe_019128, Xe_019168, Xe_019191, Xe_019219, Xe_020131, Xe_021285, Xe_022018, Xe_022022, Xe_023129, Xe_023170, Xe_024367, Xe_025118, Xe_025124, Xe_025332, Xe_025343, Xe_025345, Xe_025348, Xe_025350, Xe_025358, Xe_025370, Xe_025378, Xe_025381, Xe_027968, Xe_028598	LOC110238869	FALSE	TRUE	Xe_019168, Xe_017088, Xe_017154, Xe_025124, Xe_018505, Xe_012513	FALSE	NA	FALSE	NA	FALSE	NA
OG0000003	NA	NA	XP_022777525.1	Xe_000156, Xe_001549, Xe_001714, Xe_001788, Xe_001820, Xe_001862, Xe_001942, Xe_001952, Xe_003087, Xe_005809, Xe_006135, Xe_006142, Xe_006251, Xe_006351, Xe_006387, Xe_006429, Xe_006430, Xe_006431, Xe_006506, Xe_006536, Xe_006578, Xe_006619, Xe_007150, Xe_007652, Xe_007658, Xe_008554, Xe_008683, Xe_008690, Xe_008733, Xe_008941, Xe_008969, Xe_008985, Xe_010477, Xe_011089, Xe_012056, Xe_013485, Xe_013559, Xe_013671, Xe_014946, Xe_015149, Xe_015195, Xe_015206, Xe_015252, Xe_015264, Xe_015328, Xe_015677, Xe_016170, Xe_016174, Xe_016177, Xe_016852, Xe_016874, Xe_017004, Xe_017219, Xe_017220, Xe_017300, Xe_017442, Xe_017530, Xe_017737, Xe_017985, Xe_018682, Xe_018892, Xe_018993, Xe_019235, Xe_019593, Xe_019594, Xe_019618, Xe_019695, Xe_019800, Xe_019808, Xe_019827, Xe_020151, Xe_020182, Xe_021110, Xe_022098, Xe_022542, Xe_022884, Xe_023143, Xe_023354, Xe_023508, Xe_023582, Xe_023967, Xe_023976, Xe_024144, Xe_024257, Xe_024604, Xe_024613, Xe_024764, Xe_025000, Xe_025119, Xe_025157, Xe_025472, Xe_025582, Xe_025583, Xe_025641, Xe_026118, Xe_026199, Xe_026376, Xe_026547, Xe_026731, Xe_026916, Xe_026919, Xe_026920, Xe_027032, Xe_027071, Xe_027112, Xe_027193, Xe_027396, Xe_027692, Xe_027999, Xe_028334, Xe_028399, Xe_028635	NA	FALSE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
OG0000004	NA	NA	XP_022777464.1, XP_022777589.1, XP_022777615.1, XP_022777633.1, XP_022777634.1, XP_022777672.1, XP_022777673.1, XP_022777913.1, XP_022777914.1, XP_022777995.1, XP_022778048.1, XP_022778056.1, XP_022778194.1, XP_022778371.1, XP_022778450.1, XP_022778477.1, XP_022778670.1, XP_022778910.1, XP_022781447.1, XP_022781493.1, XP_022783850.1, XP_022784672.1, XP_022784727.1, XP_022784768.1, XP_022785688.1, XP_022786056.1, XP_022787229.1, XP_022787252.1, XP_022789650.1, XP_022791900.1, XP_022793106.1, XP_022794400.1, XP_022794407.1, XP_022794413.1, XP_022794416.1, XP_022794417.1, XP_022794583.1, XP_022796277.1, XP_022797592.1, XP_022797699.1, XP_022797973.1, XP_022797976.1, XP_022797978.1, XP_022798307.1, XP_022799014.1, XP_022800759.1, XP_022800779.1, XP_022800780.1, XP_022800789.1, XP_022801975.1, XP_022802503.1, XP_022802676.1, XP_022803381.1, XP_022803672.1, XP_022803673.1, XP_022803681.1, XP_022803683.1, XP_022803706.1, XP_022804092.1, XP_022804748.1, XP_022804890.1, XP_022804891.1, XP_022805161.1, XP_022805166.1, XP_022805168.1, XP_022805594.1, XP_022806527.1, XP_022806615.1, XP_022806619.1, XP_022806691.1, XP_022806702.1, XP_022806787.1, XP_022806871.1, XP_022806872.1, XP_022806883.1, XP_022806889.1, XP_022806892.1, XP_022806893.1, XP_022806894.1, XP_022807412.1, XP_022808283.1, XP_022808287.1, XP_022808591.1, XP_022808634.1, XP_022808931.1, XP_022809036.1, XP_022809040.1, XP_022809126.1, XP_022809207.1, XP_022809210.1, XP_022809303.1, XP_022809373.1, XP_022809522.1, XP_022809802.1, XP_022809804.1, XP_022809889.1, XP_022809910.1, XP_022809915.1, XP_022809943.1, XP_022809944.1, XP_022810065.1, XP_022810134.1, XP_022810156.1, XP_022810177.1, XP_022810180.1, XP_022810278.1, XP_022810285.1, XP_022810641.1	NA	NA	FALSE	FALSE	NA	TRUE	XP_022808634.1, XP_022802503.1	FALSE	NA	FALSE	NA
OG0000005	NA	NA	XP_022789382.1	Xe_000010, Xe_000935, Xe_000938, Xe_001197, Xe_001410, Xe_001787, Xe_001986, Xe_003215, Xe_003524, Xe_003709, Xe_003862, Xe_003923, Xe_003981, Xe_004160, Xe_004770, Xe_005191, Xe_005763, Xe_006044, Xe_006129, Xe_006247, Xe_006316, Xe_006402, Xe_006442, Xe_006543, Xe_006732, Xe_006735, Xe_006933, Xe_007563, Xe_007630, Xe_007645, Xe_008595, Xe_008861, Xe_008915, Xe_009110, Xe_009236, Xe_010372, Xe_010501, Xe_011061, Xe_011108, Xe_011161, Xe_011225, Xe_013588, Xe_014166, Xe_014607, Xe_014698, Xe_015111, Xe_015158, Xe_015207, Xe_015262, Xe_015274, Xe_015310, Xe_016519, Xe_016700, Xe_016883, Xe_016926, Xe_016956, Xe_017001, Xe_017077, Xe_017209, Xe_017320, Xe_017327, Xe_017750, Xe_017765, Xe_018008, Xe_018376, Xe_018404, Xe_018405, Xe_018956, Xe_019159, Xe_019676, Xe_019841, Xe_022443, Xe_022448, Xe_023259, Xe_023320, Xe_023323, Xe_023434, Xe_023856, Xe_023927, Xe_024152, Xe_024282, Xe_024922, Xe_025089, Xe_025169, Xe_025578, Xe_026124, Xe_026604, Xe_026709, Xe_026733, Xe_027068, Xe_027089, Xe_027421, Xe_027437, Xe_027440, Xe_027704, Xe_028006, Xe_028256, Xe_028342, Xe_028406, Xe_028519, Xe_028595, Xe_028660, Xe_028671, Xe_028697, Xe_028710, Xe_028716, Xe_028725	NA	FALSE	FALSE	NA	FALSE	NA	FALSE	NA	FALSE	NA
OG0000006	XP_020908294.1	XP_048584888.1, XP_048584948.1, XP_048587198.1	XP_022787472.1, XP_022799235.1, XP_022805952.1, XP_022807720.1, XP_022807949.1, XP_022810214.1	Xe_000730, Xe_002016, Xe_008867, Xe_008872, Xe_009691, Xe_009692, Xe_010157, Xe_016644, Xe_018771, Xe_018773, Xe_018972, Xe_019010, Xe_019135, Xe_019310, Xe_022768, Xe_022769, Xe_022830, Xe_022840, Xe_022862, Xe_022886, Xe_022887, Xe_022902, Xe_022912, Xe_022916, Xe_022924, Xe_022926, Xe_022932, Xe_022959, Xe_022972, Xe_022983, Xe_022986, Xe_022990, Xe_022991, Xe_023021, Xe_023085, Xe_023089, Xe_023141, Xe_023144, Xe_023147, Xe_023148, Xe_023181, Xe_023199, Xe_023209, Xe_023210, Xe_023214, Xe_023216, Xe_023217, Xe_023224, Xe_023229, Xe_023235, Xe_023238, Xe_023335, Xe_023339, Xe_023395, Xe_023397, Xe_023398, Xe_023406, Xe_023408, Xe_023436, Xe_023448, Xe_023683, Xe_023685, Xe_023686, Xe_023690, Xe_023695, Xe_023701, Xe_023704, Xe_023708, Xe_023732, Xe_023735, Xe_023746, Xe_023759, Xe_024206, Xe_024665, Xe_024671, Xe_025139, Xe_025492, Xe_025917, Xe_027699, Xe_027705, Xe_027729, Xe_027745, Xe_027754, Xe_027801, Xe_027809, Xe_027813, Xe_028106, Xe_028109, Xe_028241, Xe_028251, Xe_028274, Xe_028283, Xe_028392, Xe_028403, Xe_028407	LOC110246299	FALSE	TRUE	Xe_008867, Xe_009691	FALSE	NA	FALSE	NA	FALSE	NA
OG0000007	XP_020908123.1, XP_020908124.1	XP_001632732.3	XP_022777497.1, XP_022777498.1, XP_022777499.1, XP_022777541.1, XP_022777757.1, XP_022777994.1, XP_022781087.1, XP_022781133.1, XP_022781158.1, XP_022785107.1, XP_022790112.1, XP_022792749.1, XP_022792750.1, XP_022793079.1, XP_022793270.1, XP_022793273.1, XP_022793282.1, XP_022793287.1, XP_022793323.1, XP_022793667.1, XP_022793670.1, XP_022795716.1, XP_022795733.1, XP_022795742.1, XP_022795743.1, XP_022795754.1, XP_022795757.1, XP_022796383.1, XP_022796395.1, XP_022796405.1, XP_022796406.1, XP_022796418.1, XP_022799295.1, XP_022799298.1, XP_022799299.1, XP_022800040.1, XP_022800044.1, XP_022800737.1, XP_022800744.1, XP_022800745.1, XP_022800751.1, XP_022800755.1, XP_022801250.1, XP_022802381.1, XP_022802382.1, XP_022802383.1, XP_022802386.1, XP_022802389.1, XP_022802392.1, XP_022802395.1, XP_022802710.1, XP_022802714.1, XP_022803122.1, XP_022803123.1, XP_022803128.1, XP_022803659.1, XP_022803731.1, XP_022804170.1, XP_022804176.1, XP_022804177.1, XP_022804178.1, XP_022805177.1, XP_022805178.1, XP_022805605.1, XP_022807174.1, XP_022807273.1, XP_022807279.1, XP_022807280.1, XP_022807336.1, XP_022807699.1, XP_022807706.1, XP_022807724.1, XP_022807771.1, XP_022807772.1, XP_022807774.1, XP_022807861.1, XP_022807950.1, XP_022808091.1, XP_022808092.1, XP_022808095.1, XP_022808202.1, XP_022808215.1, XP_022808750.1, XP_022808789.1, XP_022809167.1, XP_022809168.1, XP_022809179.1, XP_022809433.1, XP_022809434.1, XP_022809523.1, XP_022809630.1, XP_022809729.1, XP_022810254.1, XP_022810255.1, XP_022810275.1, XP_022810339.1, XP_022810417.1, XP_022810419.1, XP_022810527.1, XP_022810529.1, XP_022810554.1	NA	LOC110246147, LOC110246148	FALSE	FALSE	NA	TRUE	XP_022785107.1, XP_022793079.1	FALSE	NA	TRUE	LOC110246148
OG0000008	NA	NA	NA	Xe_001604, Xe_007212, Xe_007250, Xe_007252, Xe_007259, Xe_007260, Xe_007266, Xe_007269, Xe_007271, Xe_007287, Xe_007293, Xe_007298, Xe_007436, Xe_007512, Xe_007514, Xe_007531, Xe_007532, Xe_007544, Xe_007545, Xe_007549, Xe_007550, Xe_007555, Xe_007559, Xe_007561, Xe_007564, Xe_007565, Xe_007567, Xe_007568, Xe_007573, Xe_007579, Xe_007583, Xe_007584, Xe_007586, Xe_007591, Xe_007597, Xe_007600, Xe_007614, Xe_007615, Xe_007616, Xe_007618, Xe_007628, Xe_007632, Xe_007635, Xe_007653, Xe_007659, Xe_007675, Xe_007679, Xe_007681, Xe_007682, Xe_007683, Xe_007685, Xe_007686, Xe_007687, Xe_007701, Xe_007702, Xe_007706, Xe_007712, Xe_007719, Xe_007729, Xe_007730, Xe_007744, Xe_007750, Xe_007751, Xe_007755, Xe_007758, Xe_009062, Xe_009063, Xe_009069, Xe_009083, Xe_009093, Xe_009095, Xe_009096, Xe_009104, Xe_009117, Xe_009120, Xe_009646, Xe_017055, Xe_017230, Xe_017249, Xe_017333, Xe_019377, Xe_024046, Xe_024047, Xe_024051, Xe_024054, Xe_024068, Xe_024072, Xe_024084, Xe_024091, Xe_028374, Xe_028375, Xe_028429, Xe_028587, Xe_028588	NA	FALSE	TRUE	Xe_007549, Xe_007635, Xe_007544, Xe_007618, Xe_007675, Xe_007512, Xe_007514, Xe_007755, Xe_007653, Xe_007584, Xe_007758, Xe_007583, Xe_007683	FALSE	NA	FALSE	NA	FALSE	NA
OG0000009	NA	NA	XP_022778281.1	Xe_003046, Xe_004047, Xe_006045, Xe_006046, Xe_006060, Xe_006062, Xe_006083, Xe_006122, Xe_006128, Xe_006282, Xe_006462, Xe_006577, Xe_006631, Xe_006654, Xe_006675, Xe_006685, Xe_006720, Xe_006721, Xe_006722, Xe_006729, Xe_006731, Xe_006734, Xe_006740, Xe_006743, Xe_006748, Xe_006750, Xe_006751, Xe_006753, Xe_006754, Xe_006757, Xe_006759, Xe_006791, Xe_006800, Xe_006801, Xe_006805, Xe_006807, Xe_006809, Xe_006813, Xe_006816, Xe_006819, Xe_006839, Xe_006861, Xe_006867, Xe_006871, Xe_006877, Xe_006906, Xe_006909, Xe_007010, Xe_007012, Xe_007013, Xe_007016, Xe_007071, Xe_007073, Xe_007076, Xe_007096, Xe_007098, Xe_007100, Xe_007101, Xe_007103, Xe_007105, Xe_012848, Xe_017014, Xe_017016, Xe_017024, Xe_017029, Xe_017031, Xe_017034, Xe_017038, Xe_017039, Xe_017042, Xe_017340, Xe_017342, Xe_017354, Xe_018337, Xe_019528, Xe_019768, Xe_019769, Xe_021582, Xe_021764, Xe_022062, Xe_027839, Xe_028512, Xe_028523, Xe_028528, Xe_028532, Xe_028535, Xe_028536, Xe_028548	NA	FALSE	TRUE	Xe_027839, Xe_006740	FALSE	NA	FALSE	NA	FALSE	NA
