XP_020913053.1	XP_022794503.1
XP_020901380.1	XP_022795419.1
XP_020896791.1	XP_022800027.1
XP_020901412.1	XP_022807225.1
XP_020903131.1	XP_022796205.1
XP_020905100.1	XP_022780311.1
XP_020912943.1	XP_022794859.1
XP_020913214.1	XP_022805628.1
XP_028512859.1	XP_022800614.1
XP_020892842.1	XP_022807057.1
XP_020893039.1	XP_022790765.1
XP_020893111.1	XP_022802442.1
XP_020893121.1	XP_022803627.1
XP_020893815.1	XP_022785835.1
XP_020894004.1	XP_022800765.1
XP_020894174.1	XP_022793809.1
XP_020894204.1	XP_022799022.1
XP_020894225.1	XP_022800472.1
XP_020895078.1	XP_022796079.1
XP_020895353.1	XP_022795065.1
XP_020895803.1	XP_022785290.1
XP_020895811.1	XP_022785627.1
XP_020895934.1	XP_022796889.1
XP_020896469.1	XP_022790776.1
XP_020897423.1	XP_022784869.1
XP_020897475.1	XP_022803015.1
XP_020897808.1	XP_022780989.1
XP_020897882.1	XP_022783289.1
XP_020897889.1	XP_022801217.1
XP_020898735.1	XP_022795630.1
XP_020898741.1	XP_022804823.1
XP_020899252.1	XP_022779150.1
XP_020899553.1	XP_022780004.1
XP_020899803.1	XP_022808147.1
XP_020900534.1	XP_022799145.1
XP_020901361.1	XP_022783202.1
XP_020901452.1	XP_022807233.1
XP_020901498.1	XP_022790229.1
XP_020901918.1	XP_022777808.1
XP_020902207.1	XP_022787696.1
XP_020902722.1	XP_022779932.1
XP_020903051.1	XP_022785263.1
XP_020903333.1	XP_022788400.1
XP_020904506.1	XP_022794736.1
XP_020905516.2	XP_022794734.1
XP_020905661.2	XP_022784379.1
XP_020905762.1	XP_022791309.1
XP_020906220.1	XP_022783154.1
XP_020906246.1	XP_022781234.1
XP_020907283.1	XP_022802311.1
XP_020907479.1	XP_022799093.1
XP_020908981.1	XP_022805743.1
XP_020909634.1	XP_022798678.1
XP_020909944.1	XP_022792224.1
XP_020910615.1	XP_022795736.1
XP_020911080.2	XP_022800497.1
XP_020911160.1	XP_022787965.1
XP_020911661.1	XP_022804280.1
XP_020911675.1	XP_022786096.1
XP_020912067.1	XP_022806671.1
XP_020912336.1	XP_022784236.1
XP_020913364.1	XP_022790424.1
XP_020913409.1	XP_022782279.1
XP_020913924.1	XP_022800114.1
XP_020914164.1	XP_022799195.1
XP_020914602.1	XP_022793474.1
XP_020914869.1	XP_022786798.1
XP_020915137.1	XP_022792788.1
XP_020915847.1	XP_022780552.1
XP_020916248.1	XP_022796800.1
XP_020916598.1	XP_022788373.1
XP_020917465.1	XP_022792368.1
XP_020917782.1	XP_022787020.1
XP_028512738.1	XP_022779483.1
XP_028512932.1	XP_022795721.1
XP_028513115.1	XP_022788482.1
XP_028514193.1	XP_022783427.1
XP_028515772.1	XP_022804755.1
XP_028516014.1	XP_022795291.1
XP_028516145.1	XP_022781288.1
XP_028516406.1	XP_022806910.1
XP_028516916.1	XP_022799605.1
XP_028518114.1	XP_022800695.1
XP_028518131.1	XP_022794035.1
XP_028518557.1	XP_022792123.1
XP_028518938.1	XP_022793509.1
XP_020893123.1	XP_022803637.1
XP_020893397.1	XP_022795740.1
XP_020894538.1	XP_022794246.1
XP_020895143.1	XP_022797264.1
XP_020895518.1	XP_022802946.1
XP_020896344.1	XP_022808247.1
XP_020896389.1	XP_022802502.1
XP_020896484.1	XP_022791115.1
XP_020897171.1	XP_022789548.1
XP_020900757.1	XP_022790239.1
XP_020900975.1	XP_022788355.1
XP_020901735.1	XP_022798902.1
XP_020901990.1	XP_022787976.1
XP_020904349.1	XP_022789851.1
XP_020905766.1	XP_022799394.1
XP_020906641.1	XP_022786435.1
XP_020908650.1	XP_022785520.1
XP_020908807.1	XP_022792524.1
XP_020909207.1	XP_022782200.1
XP_020915332.1	XP_022802777.1
XP_020916852.1	XP_022795188.1
XP_028515408.1	XP_022806051.1
XP_028516605.1	XP_022785172.1
XP_020896995.2	XP_022794351.1
XP_020901605.1	XP_022801468.1
XP_020917180.2	XP_022791277.1
